2048 x 2048 sparse matrix, nnz = 7022
(9,703)	3.0
(9,704)	3.0
(9,707)	3.0
(10,704)	3.0
(10,708)	3.0
(12,699)	3.0
(15,715)	3.0
(16,715)	10.0
(21,715)	3.0
(22,683)	3.0
(24,715)	3.0
(27,716)	100.0
(30,685)	6.0
(30,714)	3.0
(31,789)	15.0
(32,685)	3.0
(32,698)	3.0
(32,773)	16.0
(32,777)	6.0
(32,778)	3.0
(32,790)	9.0
(32,791)	3.0
(32,794)	6.0
(32,798)	6.0
(32,807)	3.0
(33,714)	3.0
(33,775)	3.0
(33,779)	3.0
(34,698)	3.0
(34,772)	12.0
(35,676)	6.0
(35,685)	3.0
(35,715)	3.0
(36,772)	6.0
(36,810)	3.0
(37,690)	3.0
(37,772)	3.0
(37,779)	3.0
(38,685)	3.0
(38,716)	9.0
(38,772)	12.0
(38,778)	3.0
(39,684)	16.0
(39,688)	3.0
(39,716)	18.0
(39,818)	3.0
(40,682)	3.0
(40,715)	106.0
(40,716)	42.0
(40,767)	3.0
(40,768)	9.0
(40,771)	6.0
(41,680)	3.0
(41,682)	115.0
(41,717)	21.0
(41,777)	3.0
(42,693)	3.0
(42,694)	9.0
(42,764)	6.0
(42,765)	6.0
(42,776)	3.0
(43,675)	6.0
(43,681)	3.0
(43,696)	24.0
(43,697)	6.0
(43,717)	3.0
(43,775)	3.0
(44,674)	3.0
(44,681)	3.0
(44,824)	3.0
(45,760)	6.0
(46,682)	3.0
(46,736)	3.0
(46,757)	9.0
(47,673)	6.0
(47,682)	3.0
(47,733)	3.0
(48,731)	6.0
(48,739)	3.0
(48,740)	3.0
(49,709)	6.0
(49,731)	3.0
(49,743)	15.0
(49,748)	3.0
(49,822)	6.0
(49,823)	3.0
(50,682)	3.0
(50,702)	3.0
(50,708)	6.0
(50,745)	3.0
(51,672)	3.0
(51,682)	3.0
(51,703)	6.0
(51,722)	3.0
(51,745)	3.0
(52,671)	6.0
(52,682)	3.0
(52,772)	38.0
(52,805)	12.0
(53,708)	9.0
(53,716)	6.0
(53,803)	6.0
(53,829)	6.0
(54,670)	9.0
(54,681)	3.0
(54,717)	12.0
(55,711)	3.0
(55,718)	6.0
(55,723)	3.0
(55,725)	3.0
(55,726)	125.0
(55,727)	12.0
(55,771)	9.0
(56,669)	3.0
(56,728)	3.0
(56,801)	3.0
(57,679)	3.0
(57,769)	9.0
(57,831)	13.0
(58,668)	3.0
(58,679)	6.0
(58,720)	12.0
(58,766)	6.0
(58,767)	3.0
(58,768)	3.0
(58,776)	9.0
(58,797)	6.0
(58,832)	19.0
(58,933)	3.0
(59,678)	3.0
(59,792)	3.0
(59,794)	9.0
(59,795)	3.0
(59,832)	6.0
(60,667)	3.0
(61,678)	3.0
(61,694)	9.0
(61,731)	3.0
(61,831)	12.0
(61,932)	3.0
(62,667)	3.0
(62,678)	6.0
(62,692)	9.0
(62,705)	3.0
(62,763)	3.0
(62,932)	3.0
(63,677)	9.0
(63,683)	9.0
(63,687)	3.0
(63,762)	3.0
(64,667)	3.0
(64,676)	6.0
(64,684)	3.0
(64,685)	3.0
(64,686)	6.0
(64,873)	100.0
(65,673)	3.0
(65,678)	9.0
(65,747)	6.0
(65,748)	3.0
(65,830)	9.0
(66,667)	3.0
(66,678)	24.0
(66,706)	9.0
(66,722)	3.0
(67,666)	3.0
(67,706)	3.0
(67,739)	6.0
(67,740)	3.0
(67,757)	3.0
(67,930)	3.0
(68,831)	203.0
(68,930)	3.0
(69,761)	6.0
(69,763)	6.0
(69,765)	15.0
(69,877)	6.0
(69,926)	10.0
(70,678)	3.0
(70,704)	6.0
(70,764)	3.0
(70,765)	3.0
(70,766)	3.0
(70,929)	12.0
(71,666)	3.0
(71,667)	6.0
(71,678)	3.0
(71,766)	3.0
(71,883)	3.0
(72,668)	6.0
(72,678)	12.0
(72,929)	6.0
(73,668)	103.0
(73,678)	3.0
(73,701)	9.0
(73,716)	3.0
(73,885)	3.0
(74,669)	3.0
(74,679)	9.0
(74,701)	9.0
(74,780)	3.0
(74,923)	3.0
(75,669)	3.0
(75,712)	3.0
(75,728)	6.0
(75,767)	9.0
(75,928)	3.0
(76,679)	12.0
(76,711)	3.0
(76,830)	3.0
(76,891)	3.0
(76,924)	3.0
(77,670)	3.0
(77,680)	6.0
(77,693)	3.0
(77,701)	6.0
(77,768)	3.0
(78,670)	19.0
(78,680)	12.0
(78,701)	12.0
(78,831)	3.0
(79,680)	3.0
(79,687)	3.0
(80,671)	3.0
(80,680)	3.0
(80,769)	3.0
(81,672)	22.0
(81,680)	12.0
(81,720)	3.0
(81,783)	3.0
(81,832)	9.0
(82,673)	15.0
(82,680)	6.0
(82,705)	6.0
(82,707)	9.0
(82,769)	6.0
(83,673)	6.0
(83,680)	6.0
(83,695)	9.0
(83,769)	6.0
(83,833)	9.0
(83,925)	113.0
(84,680)	9.0
(84,695)	3.0
(84,706)	6.0
(84,786)	3.0
(84,833)	3.0
(85,673)	3.0
(85,674)	3.0
(85,769)	3.0
(85,926)	3.0
(86,680)	9.0
(86,681)	22.0
(86,694)	3.0
(86,803)	6.0
(86,804)	3.0
(86,926)	3.0
(87,674)	6.0
(87,689)	6.0
(87,769)	9.0
(87,802)	3.0
(88,674)	3.0
(88,681)	6.0
(88,692)	3.0
(88,795)	6.0
(88,799)	3.0
(88,808)	3.0
(88,810)	3.0
(89,674)	6.0
(89,681)	6.0
(89,684)	9.0
(89,789)	3.0
(89,813)	15.0
(89,887)	3.0
(90,674)	3.0
(90,681)	6.0
(90,694)	3.0
(90,697)	3.0
(90,714)	3.0
(90,770)	3.0
(90,814)	15.0
(90,924)	6.0
(91,674)	3.0
(91,681)	9.0
(91,711)	3.0
(92,674)	3.0
(92,675)	3.0
(92,678)	6.0
(92,680)	12.0
(92,703)	3.0
(93,677)	209.0
(93,680)	6.0
(93,694)	6.0
(93,781)	32.0
(93,782)	3.0
(93,786)	9.0
(93,815)	9.0
(94,675)	3.0
(94,680)	18.0
(94,774)	3.0
(94,780)	6.0
(94,831)	3.0
(95,680)	12.0
(95,774)	18.0
(95,783)	3.0
(95,785)	3.0
(95,815)	3.0
(96,680)	33.0
(96,694)	3.0
(96,816)	9.0
(96,826)	9.0
(97,681)	18.0
(97,767)	3.0
(97,772)	6.0
(97,773)	3.0
(97,816)	3.0
(97,844)	6.0
(98,682)	3.0
(98,766)	3.0
(98,772)	3.0
(98,840)	3.0
(98,881)	3.0
(99,674)	6.0
(99,683)	6.0
(99,771)	3.0
(99,823)	9.0
(100,694)	12.0
(100,766)	3.0
(100,822)	3.0
(100,927)	10.0
(101,683)	3.0
(101,710)	3.0
(101,711)	3.0
(101,766)	6.0
(101,771)	18.0
(101,822)	3.0
(101,838)	9.0
(102,683)	3.0
(102,693)	12.0
(102,713)	6.0
(102,718)	3.0
(102,820)	6.0
(102,833)	3.0
(102,834)	3.0
(102,836)	3.0
(102,854)	6.0
(103,682)	12.0
(103,844)	6.0
(103,847)	30.0
(104,682)	3.0
(104,929)	3.0
(105,681)	22.0
(105,692)	3.0
(105,770)	3.0
(105,821)	3.0
(105,826)	46.0
(105,827)	3.0
(105,848)	6.0
(105,873)	6.0
(106,653)	3.0
(106,681)	3.0
