32768 x 32768 sparse matrix, nnz = 8235
(133,11236)	3.0
(135,11254)	3.0
(135,11308)	3.0
(156,11250)	3.0
(157,11315)	3.0
(188,11176)	3.0
(226,11432)	3.0
(255,11435)	10.0
(333,11429)	3.0
(344,10926)	3.0
(378,11433)	3.0
(419,11452)	100.0
(469,10959)	6.0
(475,11420)	3.0
(489,12611)	6.0
(495,12620)	9.0
(504,12627)	3.0
(505,12633)	6.0
(505,12641)	3.0
(506,12693)	6.0
(506,12902)	3.0
(509,10949)	3.0
(509,12429)	3.0
(509,12760)	6.0
(510,12367)	13.0
(510,12435)	3.0
(511,11157)	3.0
(511,12423)	3.0
(512,12362)	3.0
(514,12452)	3.0
(519,12390)	3.0
(523,11424)	3.0
(530,11168)	3.0
(533,12338)	12.0
(545,10801)	6.0
(545,10955)	3.0
(557,11434)	3.0
(570,12957)	3.0
(571,12341)	6.0
(579,11032)	3.0
(588,12341)	3.0
(588,12454)	3.0
(595,10950)	3.0
(602,11446)	6.0
(605,12347)	3.0
(606,12346)	9.0
(606,12441)	3.0
(607,11446)	3.0
(610,11446)	15.0
(610,13084)	3.0
(611,10938)	13.0
(619,10929)	3.0
(621,10993)	3.0
(622,11441)	3.0
(625,12326)	6.0
(627,11447)	42.0
(628,11439)	100.0
(628,12276)	9.0
(632,11440)	3.0
(632,12265)	3.0
(634,11436)	3.0
(637,10911)	3.0
(641,10906)	109.0
(644,10868)	3.0
(644,10904)	6.0
(650,12419)	3.0
(653,11464)	21.0
(658,12237)	6.0
(659,11083)	3.0
(663,11091)	3.0
(664,11092)	6.0
(664,12405)	3.0
(668,12222)	3.0
(671,12216)	3.0
(673,11121)	9.0
(673,11124)	3.0
(673,11129)	9.0
(674,11133)	3.0
(675,10896)	3.0
(676,11137)	6.0
(676,11463)	3.0
(677,10795)	6.0
(688,12389)	3.0
(693,10896)	3.0
(694,13173)	3.0
(702,10783)	3.0
(710,12145)	6.0
(727,12103)	3.0
(728,12097)	6.0
(730,11776)	3.0
(733,10900)	3.0
(738,10763)	6.0
(742,11728)	3.0
(748,10900)	3.0
(755,11823)	3.0
(757,11695)	3.0
(761,11833)	3.0
(765,11684)	3.0
(770,11681)	3.0
(774,11966)	3.0
(778,11340)	6.0
(780,13151)	3.0
(780,13166)	3.0
(782,13144)	3.0
(784,11875)	15.0
(787,10901)	3.0
(789,11222)	3.0
(792,11321)	6.0
(799,11915)	3.0
(801,11236)	3.0
(801,11918)	3.0
(805,11241)	3.0
(806,10744)	3.0
(807,10904)	3.0
(815,11541)	3.0
(818,12872)	3.0
(820,12342)	35.0
(826,12869)	9.0
(829,10903)	3.0
(830,10731)	6.0
(830,12339)	3.0
(839,12843)	6.0
(841,11314)	3.0
(841,11445)	6.0
(843,11316)	6.0
(847,13256)	6.0
(852,10715)	3.0
(854,11458)	9.0
(857,11460)	3.0
(858,10712)	3.0
(862,10891)	3.0
(863,10707)	3.0
(867,11567)	3.0
(868,12329)	9.0
(871,11372)	3.0
(873,11595)	3.0
(876,11611)	125.0
(877,11487)	6.0
(878,11617)	6.0
(878,11620)	6.0
(881,10698)	3.0
(882,11639)	3.0
(886,12810)	3.0
(898,10863)	3.0
(900,12302)	3.0
(901,13292)	13.0
(908,12292)	6.0
(913,12740)	6.0
(915,10852)	6.0
(916,14928)	3.0
(918,12280)	3.0
(920,13300)	13.0
(924,13301)	3.0
(925,11519)	12.0
(926,10683)	3.0
(926,12247)	6.0
(927,12261)	3.0
(927,13302)	3.0
(928,12414)	9.0
(931,12662)	3.0
(931,12708)	3.0
(934,12696)	9.0
(934,13300)	6.0
(940,10840)	3.0
(953,10665)	3.0
(963,11104)	6.0
(966,13292)	3.0
(968,10835)	3.0
(969,11094)	3.0
(969,13291)	6.0
(971,11688)	3.0
(976,13290)	3.0
(976,14909)	3.0
(977,11060)	9.0
(978,12194)	3.0
(980,14904)	3.0
(988,11276)	3.0
(989,10667)	3.0
(990,10836)	6.0
(996,12185)	3.0
(1003,10990)	3.0
(1004,10823)	9.0
(1004,10928)	9.0
(1009,10932)	3.0
(1012,10974)	3.0
(1018,10964)	3.0
(1020,10813)	3.0
(1023,13962)	100.0
(1024,10658)	3.0
(1024,10808)	3.0
(1024,10953)	3.0
(1027,10836)	3.0
(1028,13271)	9.0
(1029,10836)	3.0
(1029,11958)	3.0
(1031,10836)	3.0
(1032,10755)	3.0
(1037,11952)	6.0
(1045,11286)	9.0
(1049,10836)	12.0
(1053,10836)	12.0
(1054,10667)	3.0
(1054,11541)	3.0
(1057,10643)	3.0
(1058,12111)	3.0
(1060,11287)	3.0
(1065,11839)	3.0
(1068,14870)	3.0
(1072,11817)	6.0
(1074,13294)	3.0
(1077,13294)	100.0
(1081,13294)	100.0
(1081,14869)	3.0
(1095,14024)	6.0
(1096,12165)	6.0
(1098,14802)	10.0
(1101,12240)	9.0
(1103,12202)	6.0
(1103,12240)	6.0
(1110,12221)	3.0
(1110,14856)	6.0
(1114,11254)	6.0
(1115,10835)	3.0
(1115,12243)	3.0
(1116,12227)	3.0
(1117,14858)	6.0
(1122,10835)	3.0
(1124,10648)	3.0
(1129,12242)	3.0
(1132,10658)	6.0
(1135,14116)	3.0
(1144,10839)	3.0
(1145,14857)	6.0
(1147,10840)	6.0
(1148,10678)	6.0
(1151,10841)	3.0
(1156,10687)	103.0
(1160,11211)	3.0
(1162,10845)	3.0
(1166,11455)	3.0
(1166,14159)	3.0
(1167,11209)	6.0
(1170,10849)	6.0
(1176,10852)	3.0
(1181,11207)	9.0
(1182,14768)	3.0
(1183,10692)	3.0
(1183,12470)	3.0
(1185,14847)	3.0
(1190,10692)	3.0
(1191,11637)	6.0
(1195,12257)	6.0
(1198,12262)	3.0
(1200,11378)	3.0
(1201,10864)	12.0
(1202,13269)	3.0
(1203,14770)	3.0
(1206,11368)	3.0
(1214,14241)	3.0
(1217,12280)	3.0
(1218,11206)	6.0
(1221,11081)	3.0
(1222,10869)	3.0
(1229,10708)	3.0
(1229,10870)	3.0
(1233,11206)	12.0
(1237,10871)	12.0
(1238,10717)	19.0
(1244,13291)	3.0
(1251,10872)	3.0
(1264,10985)	3.0
(1273,10871)	3.0
(1274,12293)	3.0
(1280,10735)	3.0
(1281,10871)	3.0
(1281,13309)	3.0
(1285,13310)	3.0
(1286,12527)	3.0
(1287,10738)	19.0
(1288,10871)	6.0
(1292,10742)	3.0
(1292,10871)	3.0
(1293,11518)	3.0
(1295,13312)	3.0
(1301,11277)	6.0
(1301,11307)	9.0
(1303,10753)	6.0
(1306,10872)	6.0
(1307,10756)	9.0
(1307,12292)	6.0
(1316,13318)	6.0
(1317,10873)	6.0
(1318,10760)	3.0
(1318,11117)	9.0
(1319,12291)	6.0
(1321,14787)	113.0
(1328,10763)	3.0
(1328,13323)	3.0
(1329,11289)	6.0
(1331,11108)	3.0
(1334,12566)	3.0
(1336,13324)	3.0
(1339,10876)	6.0
(1341,10876)	3.0
(1345,10768)	3.0
(1345,14812)	3.0
(1348,12291)	3.0
(1352,10772)	3.0
(1362,14808)	3.0
(1364,10880)	9.0
(1367,10881)	13.0
(1368,11093)	3.0
(1371,12839)	6.0
(1372,12850)	3.0
(1375,10882)	9.0
(1378,12291)	9.0
(1379,10778)	3.0
(1379,12818)	3.0
(1383,11024)	6.0
(1386,10777)	3.0
(1395,12709)	3.0
(1395,12712)	3.0
(1396,11057)	3.0
(1397,12921)	3.0
(1400,10776)	3.0
(1403,10886)	6.0
(1403,12953)	3.0
(1404,12775)	3.0
(1411,10943)	9.0
(1411,12611)	3.0
(1418,10888)	3.0
(1419,13000)	9.0
(1420,14184)	3.0
(1421,10772)	6.0
(1423,10888)	3.0
(1423,13007)	6.0
(1425,10888)	3.0
(1426,11146)	3.0
(1426,14774)	6.0
(1429,12310)	3.0
(1433,10776)	3.0
(1434,13016)	6.0
(1436,11090)	3.0
(1437,11412)	3.0
(1437,13017)	9.0
(1439,10887)	3.0
(1442,10886)	6.0
(1452,10781)	3.0
(1452,11368)	3.0
(1453,10882)	3.0
(1459,10782)	3.0
(1459,10879)	6.0
(1462,11241)	3.0
(1463,10878)	3.0
(1466,10876)	3.0
(1472,10785)	3.0
(1472,10838)	3.0
(1472,10843)	3.0
(1475,10827)	206.0
(1475,13031)	6.0
(1478,11089)	3.0
(1478,13032)	3.0
(1479,10822)	3.0
(1480,12492)	32.0
(1485,11089)	3.0
(1485,12501)	3.0
(1487,10872)	6.0
(1487,12570)	9.0
(1490,12466)	6.0
(1494,10872)	9.0
(1495,10796)	3.0
(1502,10872)	9.0
(1502,12382)	3.0
(1504,13294)	3.0
(1508,12552)	3.0
(1509,10872)	3.0
(1511,13040)	3.0
(1513,12371)	18.0
(1516,10872)	6.0
(1516,12519)	3.0
(1520,10873)	3.0
(1524,10873)	6.0
(1525,10874)	3.0
(1527,11095)	3.0
(1530,10875)	6.0
(1531,13210)	9.0
(1533,10877)	9.0
(1536,10879)	9.0
(1536,13051)	9.0
(1538,12344)	6.0
(1538,13054)	3.0
(1541,13492)	3.0
(1541,13493)	3.0
(1542,12368)	3.0
(1545,10888)	3.0
(1545,12261)	3.0
(1547,10890)	3.0
(1549,10892)	9.0
(1551,10895)	3.0
(1553,13434)	3.0
(1557,10902)	3.0
(1564,12348)	3.0
(1565,12250)	3.0
(1566,14084)	3.0
(1569,13161)	6.0
(1574,10914)	6.0
(1575,13158)	3.0
(1578,10783)	6.0
(1578,12330)	3.0
(1589,12250)	3.0
(1589,14821)	10.0
(1596,13151)	3.0
(1597,11094)	12.0
(1601,12322)	18.0
(1602,12248)	6.0
(1604,13408)	6.0
(1609,10918)	3.0
(1613,11345)	3.0
(1614,13143)	3.0
(1616,11362)	3.0
(1616,13400)	3.0
(1617,13120)	3.0
(1617,13657)	3.0
(1618,11088)	6.0
(1623,10915)	3.0
(1623,13330)	3.0
(1625,11087)	6.0
(1627,13368)	3.0
(1628,13313)	3.0
(1629,13664)	3.0
(1630,11395)	3.0
(1630,11478)	3.0
(1630,13109)	3.0
(1632,11400)	3.0
(1636,10909)	6.0
(1636,13544)	6.0
(1641,13548)	24.0
(1642,10906)	6.0
(1645,13492)	3.0
(1646,13497)	3.0
(1658,10899)	3.0
(1659,14852)	3.0
(1668,10895)	3.0
(1668,13557)	6.0
(1669,13134)	3.0
(1670,11072)	3.0
(1671,10894)	3.0
(1675,10893)	3.0
(1675,12313)	3.0
(1675,13214)	26.0
(1675,13220)	3.0
(1675,13958)	3.0
(1676,13958)	3.0
(1677,13209)	20.0
(1678,10893)	13.0
(1682,10892)	3.0
(1683,12924)	3.0
(1686,13638)	3.0
(1690,11041)	3.0
(1690,12300)	3.0
(1692,10448)	3.0
(1695,13281)	3.0
(1697,11031)	3.0
(1699,10457)	3.0
(1699,10468)	9.0
(1705,13977)	3.0
(1711,10889)	9.0
(1711,11011)	3.0
(1712,11274)	3.0
(1717,11007)	3.0
(1718,10889)	6.0
(1724,12270)	3.0
(1725,10890)	6.0
(1725,14854)	3.0
(1731,12895)	3.0
(1736,13448)	3.0
(1740,10891)	3.0
(1745,11048)	3.0
(1747,10892)	6.0
(1751,10892)	9.0
(1755,12080)	3.0
(1757,12079)	3.0
(1758,10893)	12.0
(1758,12078)	6.0
(1759,12594)	3.0
(1762,12074)	3.0
(1762,13260)	6.0
(1763,12071)	3.0
(1765,10491)	3.0
(1767,13741)	6.0
(1772,12226)	3.0
(1774,10962)	110.0
(1776,10897)	3.0
(1776,12670)	9.0
(1777,12682)	3.0
(1778,12608)	3.0
(1778,13251)	3.0
(1783,10899)	15.0
(1783,12205)	3.0
(1784,10913)	3.0
(1785,10914)	3.0
(1785,13243)	6.0
(1790,10901)	3.0
(1790,13238)	3.0
(1791,10492)	3.0
(1791,12721)	3.0
(1792,12196)	6.0
(1792,12421)	3.0
(1793,12726)	6.0
(1797,13730)	3.0
(1798,12020)	3.0
(1799,10941)	27.0
(1803,10906)	6.0
(1804,12182)	3.0
(1804,14894)	3.0
(1806,12329)	6.0
(1809,12171)	3.0
(1809,13205)	3.0
(1814,11114)	9.0
(1814,12160)	12.0
(1820,10936)	3.0
(1824,10912)	6.0
(1825,12139)	21.0
(1827,10996)	6.0
(1830,11001)	6.0
(1830,11911)	3.0
(1831,10914)	3.0
(1831,11520)	9.0
(1834,12631)	3.0
(1837,12124)	110.0
(1838,10916)	6.0
(1843,11991)	3.0
(1845,10918)	6.0
(1845,12107)	3.0
(1848,11043)	3.0
(1848,12097)	6.0
(1848,13772)	3.0
(1851,10920)	15.0
(1851,13777)	3.0
(1852,11932)	3.0
(1853,13782)	100.0
(1854,11044)	3.0
(1854,12086)	15.0
(1858,10922)	12.0
(1859,11044)	3.0
(1860,11244)	6.0
(1860,11536)	3.0
(1861,12076)	3.0
(1861,13187)	6.0
(1865,10508)	3.0
(1865,10924)	3.0
(1867,12281)	3.0
(1872,10927)	6.0
(1874,12066)	3.0
(1875,12055)	6.0
(1876,12064)	22.0
(1876,14835)	3.0
(1877,12044)	6.0
(1878,10512)	13.0
(1878,10929)	3.0
(1879,11547)	6.0
(1879,11907)	3.0
(1882,10930)	3.0
(1882,12329)	3.0
(1885,10515)	3.0
(1885,10932)	3.0
(1885,11917)	3.0
(1887,13818)	9.0
(1888,11922)	9.0
(1889,12217)	3.0
(1889,12572)	6.0
(1890,12043)	9.0
(1892,10517)	6.0
(1892,11554)	6.0
(1892,12187)	3.0
(1892,12348)	3.0
(1893,12192)	3.0
(1896,11556)	3.0
(1896,11938)	6.0
(1897,12183)	3.0
(1897,12344)	3.0
(1897,13524)	3.0
(1898,10936)	3.0
(1898,11944)	3.0
(1898,13831)	3.0
(1899,10519)	6.0
(1900,12028)	6.0
(1901,10937)	6.0
(1901,11832)	6.0
(1902,12370)	3.0
(1902,12505)	3.0
(1903,10938)	10.0
(1903,11267)	6.0
(1903,12178)	3.0
(1904,11830)	3.0
(1905,10521)	3.0
(1906,12012)	12.0
(1906,12612)	9.0
(1907,11979)	3.0
(1912,10941)	3.0
(1913,12141)	9.0
(1914,11568)	3.0
(1918,10944)	12.0
(1919,10526)	12.0
(1922,10527)	3.0
(1923,13842)	3.0
(1934,11592)	3.0
(1939,10532)	9.0
(1939,10948)	3.0
(1939,11608)	3.0
(1939,11822)	6.0
(1940,12093)	3.0
(1944,12077)	3.0
(1946,10534)	3.0
(1947,12071)	3.0
(1948,13201)	3.0
(1949,10536)	6.0
(1952,14019)	3.0
(1954,10948)	9.0
(1956,10538)	9.0
(1959,11816)	9.0
(1965,14110)	3.0
(1966,10541)	3.0
(1969,10946)	12.0
(1970,11942)	3.0
(1973,10543)	3.0
(1976,10945)	6.0
(1976,11775)	3.0
(1976,11926)	3.0
(1977,10545)	22.0
(1978,11920)	12.0
(1981,11527)	6.0
(1982,14458)	3.0
(1983,10944)	19.0
(1983,14922)	6.0
(1984,14164)	6.0
(1986,11872)	3.0
(1987,11482)	3.0
(1987,14457)	3.0
(1993,10550)	6.0
(1993,13918)	9.0
(1994,13927)	3.0
(1996,13890)	3.0
(1997,10551)	3.0
(1997,10942)	16.0
(1999,12142)	6.0
(2003,10553)	24.0
(2004,12760)	3.0
(2005,10941)	3.0
(2006,12978)	6.0
(2009,10940)	3.0
(2009,11743)	100.0
(2009,11758)	3.0
(2011,10808)	3.0
(2012,10785)	3.0
(2012,10939)	112.0
(2012,11757)	6.0
(2014,10557)	6.0
(2015,10771)	3.0
(2015,10774)	6.0
(2016,10768)	6.0
(2017,10558)	3.0
(2017,10762)	9.0
(2017,10765)	6.0
(2018,10757)	3.0
(2018,10759)	3.0
(2019,10937)	3.0
(2019,11755)	6.0
(2020,10559)	21.0
(2020,11437)	6.0
(2020,14298)	6.0
(2021,10835)	10.0
(2021,13961)	3.0
(2022,10560)	3.0
(2022,10846)	3.0
(2023,10851)	3.0
(2023,10857)	3.0
(2024,10862)	6.0
(2024,10868)	3.0
(2025,10560)	18.0
(2025,10725)	6.0
(2025,10727)	6.0
(2025,10879)	3.0
(2027,10561)	9.0
(2027,11746)	6.0
(2028,11753)	3.0
(2029,11327)	21.0
(2029,14195)	3.0
(2030,10704)	6.0
(2031,10701)	3.0
(2031,11747)	3.0
(2032,10698)	9.0
(2033,10898)	3.0
(2033,11751)	6.0
(2033,14696)	3.0
(2034,10685)	3.0
(2034,10932)	12.0
(2034,11331)	3.0
(2034,11748)	6.0
(2035,10935)	6.0
(2036,10675)	6.0
(2036,14714)	3.0
(2037,14720)	3.0
(2038,11748)	3.0
(2041,10565)	3.0
(2041,10656)	6.0
(2041,14698)	21.0
(2043,13990)	3.0
(2044,13995)	3.0
(2045,10943)	12.0
(2045,11745)	3.0
(2045,14693)	6.0
(2047,10628)	3.0
(2047,13928)	10.0
(2048,10566)	3.0
(2048,14691)	3.0
(2049,10619)	3.0
(2050,11392)	3.0
(2051,10947)	9.0
(2052,11387)	3.0
(2053,10604)	3.0
(2053,10953)	6.0
(2053,14870)	6.0
(2055,10592)	10.0
(2056,10589)	6.0
(2056,11169)	3.0
(2056,11175)	18.0
(2056,11207)	16.0
(2056,14686)	3.0
(2058,11158)	3.0
(2059,10574)	6.0
(2059,11146)	3.0
(2059,11213)	6.0
(2060,10567)	3.0
(2060,10571)	3.0
(2061,10969)	24.0
(2061,11140)	3.0
(2061,11734)	10.0
(2062,10563)	3.0
(2063,11029)	3.0
(2063,11377)	9.0
(2064,10551)	9.0
(2065,10974)	6.0
(2068,10533)	3.0
(2070,11349)	3.0
(2071,10521)	12.0
(2071,11013)	3.0
(2072,10980)	3.0
(2072,11224)	3.0
(2073,10509)	3.0
(2073,10512)	9.0
(2075,11353)	9.0
(2076,11008)	3.0
(2076,11714)	3.0
(2077,10987)	3.0
(2077,11048)	6.0
(2077,14095)	3.0
(2080,11363)	3.0
(2080,14652)	3.0
(2083,10470)	3.0
(2083,14647)	18.0
(2085,10464)	3.0
(2088,11697)	18.0
(2088,14133)	3.0
(2089,14139)	9.0
(2089,14147)	6.0
(2089,14448)	3.0
(2089,14453)	6.0
(2092,11094)	6.0
(2094,13189)	10.0
(2095,11689)	3.0
(2095,14419)	3.0
(2096,11089)	3.0
(2100,11084)	3.0
(2100,11684)	3.0
(2101,11063)	12.0
(2101,11082)	6.0
(2102,14629)	3.0
(2103,11682)	3.0
(2104,10437)	3.0
(2104,11068)	9.0
(2104,11073)	3.0
(2105,14323)	3.0
(2106,10435)	3.0
(2109,13638)	6.0
(2111,10430)	6.0
(2115,13211)	3.0
(2116,11671)	6.0
(2120,11715)	12.0
(2122,10423)	6.0
(2122,11392)	3.0
(2122,14583)	20.0
(2124,14600)	3.0
(2125,14287)	6.0
(2126,11664)	6.0
(2126,14525)	3.0
(2127,10419)	9.0
(2128,11262)	3.0
(2131,12117)	3.0
(2136,11396)	12.0
(2139,11741)	3.0
(2141,11741)	3.0
(2141,14962)	3.0
(2142,11593)	3.0
(2144,10407)	6.0
(2144,11401)	3.0
(2144,11604)	6.0
(2148,9354)	6.0
(2152,14482)	3.0
(2153,9445)	3.0
(2155,14501)	3.0
(2160,10396)	3.0
(2166,10392)	3.0
(2167,14938)	6.0
(2169,14395)	3.0
(2170,11758)	6.0
(2171,10388)	3.0
(2172,15299)	3.0
(2174,15232)	6.0
(2177,11758)	3.0
(2178,15370)	3.0
(2180,11538)	6.0
(2182,10381)	9.0
(2183,11461)	3.0
(2183,14952)	3.0
(2190,9506)	6.0
(2193,9318)	6.0
(2194,11426)	6.0
(2195,11758)	6.0
(2195,13906)	3.0
(2195,15188)	12.0
(2200,11500)	6.0
(2201,15178)	6.0
(2203,14366)	3.0
(2213,14350)	100.0
(2215,14974)	3.0
(2220,14979)	9.0
(2221,10354)	3.0
(2221,12612)	3.0
(2224,12866)	6.0
(2225,14339)	9.0
(2228,12870)	3.0
(2229,14988)	3.0
(2230,15051)	3.0
(2232,11373)	3.0
(2241,9625)	3.0
(2241,13311)	3.0
(2247,9648)	6.0
(2247,13053)	3.0
(2249,13759)	3.0
(2250,15136)	6.0
(2253,12571)	3.0
(2255,11857)	3.0
