8192 x 8192 sparse matrix, nnz = 8041
(34,2809)	3.0
(34,2814)	3.0
(34,2827)	3.0
(39,2813)	3.0
(40,2829)	3.0
(47,2794)	3.0
(57,2858)	3.0
(64,2859)	10.0
(84,2858)	3.0
(86,2732)	3.0
(95,2859)	3.0
(105,2863)	100.0
(118,2740)	6.0
(119,2855)	3.0
(123,3153)	6.0
(124,3155)	9.0
(126,3157)	3.0
(127,3159)	6.0
(127,3161)	3.0
(127,3174)	6.0
(127,3226)	3.0
(128,2738)	3.0
(128,2790)	3.0
(128,3091)	3.0
(128,3092)	13.0
(128,3106)	3.0
(128,3108)	3.0
(128,3109)	3.0
(128,3190)	6.0
(129,3113)	3.0
(130,3098)	3.0
(131,2856)	3.0
(133,2792)	3.0
(134,3085)	12.0
(137,2701)	6.0
(137,2739)	3.0
(140,2859)	3.0
(143,3086)	6.0
(143,3240)	3.0
(145,2758)	3.0
(147,3086)	3.0
(147,3114)	3.0
(149,2738)	3.0
(151,2862)	6.0
(152,2862)	3.0
(152,3087)	12.0
(152,3111)	3.0
(153,2735)	13.0
(153,2862)	15.0
(153,3271)	3.0
(155,2733)	3.0
(156,2749)	3.0
(156,2861)	3.0
(157,2860)	100.0
(157,2862)	42.0
(157,3069)	9.0
(157,3082)	6.0
(158,2860)	3.0
(158,3067)	3.0
(159,2859)	3.0
(160,2728)	3.0
(161,2717)	3.0
(161,2726)	6.0
(161,2727)	109.0
(163,3105)	3.0
(164,2866)	21.0
(165,2771)	3.0
(165,3060)	6.0
(166,2773)	9.0
(166,3102)	3.0
(167,3056)	3.0
(168,3054)	3.0
(169,2724)	3.0
(169,2781)	12.0
(169,2783)	9.0
(169,2784)	3.0
(169,2785)	6.0
(169,2866)	3.0
(170,2699)	6.0
(172,3098)	3.0
(174,2724)	3.0
(174,3294)	3.0
(176,2696)	3.0
(178,3037)	6.0
(182,3025)	6.0
(182,3026)	3.0
(183,2944)	3.0
(184,2725)	3.0
(185,2691)	6.0
(186,2932)	3.0
(187,2725)	3.0
(189,2956)	3.0
(190,2924)	3.0
(191,2959)	3.0
(192,2921)	3.0
(193,2921)	3.0
(194,2992)	3.0
(195,2835)	6.0
(195,3288)	3.0
(195,3292)	3.0
(196,2969)	15.0
(196,3286)	3.0
(197,2726)	3.0
(198,2806)	3.0
(198,2831)	6.0
(200,2979)	3.0
(201,2809)	3.0
(201,2980)	3.0
(202,2686)	3.0
(202,2726)	3.0
(202,2811)	3.0
(204,2886)	3.0
(205,3086)	35.0
(205,3218)	3.0
(207,3218)	9.0
(208,2683)	6.0
(208,2726)	3.0
(208,3085)	3.0
(210,3211)	6.0
(211,2829)	9.0
(211,2862)	6.0
(212,3314)	6.0
(213,2679)	3.0
(214,2865)	9.0
(215,2678)	3.0
(215,2865)	3.0
(216,2677)	3.0
(216,2723)	3.0
(217,2892)	3.0
(217,3083)	9.0
(218,2843)	3.0
(219,2899)	3.0
(219,2903)	125.0
(220,2872)	6.0
(220,2905)	12.0
(221,2675)	3.0
(221,2910)	3.0
(222,3203)	3.0
(225,2716)	3.0
(225,3076)	3.0
(226,3323)	13.0
