geometry,time,area_ardida,f
POINT(-9.17192853950178 39.38608554949),2001-01-01 00:00:00,1,1
POINT(-8.84178062873798 40.0463813710176),2001-01-01 00:00:00,0.0001,1
POINT(-8.84178062873798 41.6971209248368),2001-01-01 00:00:00,2,1
POINT(-8.51163271797415 40.0463813710176),2001-01-01 00:00:00,0.003,1
POINT(-8.51163271797415 40.2114553263995),2001-01-01 00:00:00,0.01,1
POINT(-8.51163271797415 40.5416032371634),2001-01-01 00:00:00,0.1,1
POINT(-8.34655876259222 40.5416032371634),2001-01-01 00:00:00,0.02,1
POINT(-8.18148480721032 40.5416032371634),2001-01-01 00:00:00,0.41,2
POINT(-8.0164108518284 38.0654939064347),2001-01-01 00:00:00,0.0001,1
POINT(-8.0164108518284 40.3765292817815),2001-01-01 00:00:00,1,1
POINT(-8.0164108518284 40.5416032371634),2001-01-01 00:00:00,0.2901,3
POINT(-8.0164108518284 40.8717511479272),2001-01-01 00:00:00,2.0001,2
POINT(-7.8513368964465 40.3765292817815),2001-01-01 00:00:00,1.1,1
POINT(-7.8513368964465 40.7066771925453),2001-01-01 00:00:00,0.05,1
POINT(-7.35611503030074 41.3669730140729),2001-01-01 00:00:00,0.01,1
POINT(-7.02596711953692 41.201899058691),2001-01-01 00:00:00,1,1
POINT(-7.02596711953692 41.5320469694549),2001-01-01 00:00:00,0.1,1
POINT(-9.50207645026561 38.7257897279623),2001-02-01 00:00:00,0.004,2
POINT(-9.50207645026561 38.8908636833443),2001-02-01 00:00:00,0.52,2
POINT(-9.33700249488371 38.3956418171985),2001-02-01 00:00:00,0.075,1
POINT(-9.33700249488371 38.7257897279623),2001-02-01 00:00:00,0.0015,1
POINT(-9.33700249488371 38.8908636833443),2001-02-01 00:00:00,8.61,12
POINT(-9.17192853950178 38.3956418171985),2001-02-01 00:00:00,1.30,4
POINT(-9.17192853950178 38.5607157725804),2001-02-01 00:00:00,0.001,1
POINT(-9.17192853950178 39.0559376387262),2001-02-01 00:00:00,0.07,1
POINT(-9.00685458411988 39.2210115941081),2001-02-01 00:00:00,0.02,1
POINT(-9.00685458411988 39.38608554949),2001-02-01 00:00:00,1.5,2
POINT(-9.00685458411988 39.5511595048719),2001-02-01 00:00:00,0.2001,3
POINT(-9.00685458411988 39.7162334602538),2001-02-01 00:00:00,0.0002,2
POINT(-9.00685458411988 41.6971209248368),2001-02-01 00:00:00,0.2,2
POINT(-8.84178062873798 37.0750501741432),2001-02-01 00:00:00,0.002,1
POINT(-8.84178062873798 37.405198084907),2001-02-01 00:00:00,0.0001,1
POINT(-8.84178062873798 37.5702720402889),2001-02-01 00:00:00,0.05,1
POINT(-8.84178062873798 37.9004199510528),2001-02-01 00:00:00,0.0001,1
POINT(-8.84178062873798 38.8908636833443),2001-02-01 00:00:00,0.002,1
POINT(-8.84178062873798 39.38608554949),2001-02-01 00:00:00,0.002,1
POINT(-8.84178062873798 39.5511595048719),2001-02-01 00:00:00,0.06,2
POINT(-8.84178062873798 39.7162334602538),2001-02-01 00:00:00,0.0301,2
POINT(-8.84178062873798 41.201899058691),2001-02-01 00:00:00,0.01,1
POINT(-8.84178062873798 41.3669730140729),2001-02-01 00:00:00,0.1,1
POINT(-8.84178062873798 41.5320469694549),2001-02-01 00:00:00,0.54,5
POINT(-8.84178062873798 41.6971209248368),2001-02-01 00:00:00,34.29,10
POINT(-8.84178062873798 41.8621948802187),2001-02-01 00:00:00,5,1
POINT(-8.67670667335605 37.0750501741432),2001-02-01 00:00:00,0.1,1
POINT(-8.67670667335605 38.3956418171985),2001-02-01 00:00:00,0.0001,1
POINT(-8.67670667335605 38.8908636833443),2001-02-01 00:00:00,0.075,2
POINT(-8.67670667335605 39.5511595048719),2001-02-01 00:00:00,1,1
POINT(-8.67670667335605 39.7162334602538),2001-02-01 00:00:00,2,1
POINT(-8.67670667335605 40.0463813710176),2001-02-01 00:00:00,0.7,1
POINT(-8.67670667335605 40.5416032371634),2001-02-01 00:00:00,0.3101,3
POINT(-8.67670667335605 40.7066771925453),2001-02-01 00:00:00,0.2501,3
POINT(-8.67670667335605 40.8717511479272),2001-02-01 00:00:00,2.30,21
POINT(-8.67670667335605 41.0368251033091),2001-02-01 00:00:00,6.26,22
POINT(-8.67670667335605 41.201899058691),2001-02-01 00:00:00,3.02,2
POINT(-8.67670667335605 41.3669730140729),2001-02-01 00:00:00,1.33,6
POINT(-8.67670667335605 41.5320469694549),2001-02-01 00:00:00,0.38,3
POINT(-8.67670667335605 41.6971209248368),2001-02-01 00:00:00,9.97,8
POINT(-8.67670667335605 41.8621948802187),2001-02-01 00:00:00,35.58,14
POINT(-8.67670667335605 42.0272688356006),2001-02-01 00:00:00,0.08,1
POINT(-8.51163271797415 40.0463813710176),2001-02-01 00:00:00,0.02,2
POINT(-8.51163271797415 40.3765292817815),2001-02-01 00:00:00,0.3901,3
POINT(-8.51163271797415 40.5416032371634),2001-02-01 00:00:00,4.42,3
POINT(-8.51163271797415 40.7066771925453),2001-02-01 00:00:00,3.96,10
POINT(-8.51163271797415 40.8717511479272),2001-02-01 00:00:00,0.46,4
POINT(-8.51163271797415 41.0368251033091),2001-02-01 00:00:00,0.86,9
POINT(-8.51163271797415 41.201899058691),2001-02-01 00:00:00,2.32,14
POINT(-8.51163271797415 41.3669730140729),2001-02-01 00:00:00,2.41,7
POINT(-8.51163271797415 41.5320469694549),2001-02-01 00:00:00,2.49,6
POINT(-8.51163271797415 41.6971209248368),2001-02-01 00:00:00,4.59,11
POINT(-8.51163271797415 41.8621948802187),2001-02-01 00:00:00,11.53,7
POINT(-8.34655876259222 39.5511595048719),2001-02-01 00:00:00,1.0001,2
POINT(-8.34655876259222 39.7162334602538),2001-02-01 00:00:00,0.5,1
POINT(-8.34655876259222 40.0463813710176),2001-02-01 00:00:00,0.12,1
POINT(-8.34655876259222 40.7066771925453),2001-02-01 00:00:00,36.02,10
POINT(-8.34655876259222 40.8717511479272),2001-02-01 00:00:00,0.6,1
POINT(-8.34655876259222 41.0368251033091),2001-02-01 00:00:00,0.77,4
POINT(-8.34655876259222 41.201899058691),2001-02-01 00:00:00,1.34,8
POINT(-8.34655876259222 41.3669730140729),2001-02-01 00:00:00,3.90,11
POINT(-8.34655876259222 41.5320469694549),2001-02-01 00:00:00,4.93,8
POINT(-8.34655876259222 41.6971209248368),2001-02-01 00:00:00,1.50,6
POINT(-8.34655876259222 41.8621948802187),2001-02-01 00:00:00,2.5,2
POINT(-8.34655876259222 42.0272688356006),2001-02-01 00:00:00,1.15,2
POINT(-8.18148480721032 39.2210115941081),2001-02-01 00:00:00,2,1
POINT(-8.18148480721032 39.38608554949),2001-02-01 00:00:00,0.05,1
POINT(-8.18148480721032 39.7162334602538),2001-02-01 00:00:00,0.01,1
POINT(-8.18148480721032 39.8813074156357),2001-02-01 00:00:00,4.35,3
POINT(-8.18148480721032 40.2114553263995),2001-02-01 00:00:00,0.9,2
POINT(-8.18148480721032 40.5416032371634),2001-02-01 00:00:00,1.08,2
POINT(-8.18148480721032 41.0368251033091),2001-02-01 00:00:00,0.51,6
POINT(-8.18148480721032 41.201899058691),2001-02-01 00:00:00,1.04,5
POINT(-8.18148480721032 41.3669730140729),2001-02-01 00:00:00,0.13,3
POINT(-8.18148480721032 41.5320469694549),2001-02-01 00:00:00,1.97,7
POINT(-8.18148480721032 41.6971209248368),2001-02-01 00:00:00,5.5,2
POINT(-8.18148480721032 41.8621948802187),2001-02-01 00:00:00,0.03,1
POINT(-8.0164108518284 39.2210115941081),2001-02-01 00:00:00,0.5,1
POINT(-8.0164108518284 39.5511595048719),2001-02-01 00:00:00,0.02,1
POINT(-8.0164108518284 39.7162334602538),2001-02-01 00:00:00,0.3,1
POINT(-8.0164108518284 40.5416032371634),2001-02-01 00:00:00,3.3,4
POINT(-8.0164108518284 40.7066771925453),2001-02-01 00:00:00,0.1001,4
POINT(-8.0164108518284 40.8717511479272),2001-02-01 00:00:00,2,1
POINT(-8.0164108518284 41.0368251033091),2001-02-01 00:00:00,0.64,4
POINT(-8.0164108518284 41.201899058691),2001-02-01 00:00:00,3,1
POINT(-8.0164108518284 41.3669730140729),2001-02-01 00:00:00,4.17,8
POINT(-8.0164108518284 41.5320469694549),2001-02-01 00:00:00,47.02,7
POINT(-8.0164108518284 41.6971209248368),2001-02-01 00:00:00,91.01,5
POINT(-7.8513368964465 40.3765292817815),2001-02-01 00:00:00,0.5,2
POINT(-7.8513368964465 40.8717511479272),2001-02-01 00:00:00,6.0601,4
POINT(-7.8513368964465 41.0368251033091),2001-02-01 00:00:00,2,2
POINT(-7.8513368964465 41.201899058691),2001-02-01 00:00:00,2.60,8
POINT(-7.8513368964465 41.3669730140729),2001-02-01 00:00:00,0.5,1
POINT(-7.8513368964465 41.5320469694549),2001-02-01 00:00:00,0.3,1
POINT(-7.8513368964465 41.6971209248368),2001-02-01 00:00:00,2.01,2
POINT(-7.8513368964465 41.8621948802187),2001-02-01 00:00:00,77,2
POINT(-7.68626294106457 40.5416032371634),2001-02-01 00:00:00,0.5,1
POINT(-7.68626294106457 41.6971209248368),2001-02-01 00:00:00,1.5,2
POINT(-7.52118898568267 39.2210115941081),2001-02-01 00:00:00,0.0001,1
POINT(-7.52118898568267 39.7162334602538),2001-02-01 00:00:00,1,1
POINT(-7.52118898568267 39.8813074156357),2001-02-01 00:00:00,0.01,1
POINT(-7.52118898568267 40.7066771925453),2001-02-01 00:00:00,0.5,1
POINT(-7.52118898568267 41.0368251033091),2001-02-01 00:00:00,0.02,1
POINT(-7.52118898568267 41.201899058691),2001-02-01 00:00:00,0.25,3
POINT(-7.52118898568267 41.3669730140729),2001-02-01 00:00:00,0.05,1
POINT(-7.52118898568267 41.6971209248368),2001-02-01 00:00:00,0.01,1
POINT(-7.35611503030074 39.2210115941081),2001-02-01 00:00:00,0.0001,1
POINT(-7.35611503030074 40.3765292817815),2001-02-01 00:00:00,2,2
POINT(-7.35611503030074 40.7066771925453),2001-02-01 00:00:00,0.5,1
POINT(-7.35611503030074 41.5320469694549),2001-02-01 00:00:00,0.01,1
POINT(-7.19104107491884 39.8813074156357),2001-02-01 00:00:00,0.02,1
POINT(-7.19104107491884 40.2114553263995),2001-02-01 00:00:00,1.5,1
POINT(-7.19104107491884 41.0368251033091),2001-02-01 00:00:00,0.01,1
POINT(-7.19104107491884 41.8621948802187),2001-02-01 00:00:00,1,1
POINT(-7.02596711953692 41.0368251033091),2001-02-01 00:00:00,5,1
POINT(-7.02596711953692 41.5320469694549),2001-02-01 00:00:00,0.1,1
POINT(-7.02596711953692 41.8621948802187),2001-02-01 00:00:00,24.71,2
POINT(-6.86089316415502 41.0368251033091),2001-02-01 00:00:00,0.01,1
POINT(-6.69581920877309 41.3669730140729),2001-02-01 00:00:00,0.5,1
POINT(-6.69581920877309 41.5320469694549),2001-02-01 00:00:00,0.1,1
POINT(-6.53074525339119 41.201899058691),2001-02-01 00:00:00,1,1
POINT(-6.36567129800926 41.3669730140729),2001-02-01 00:00:00,0.5,1
POINT(-9.33700249488371 39.38608554949),2001-03-01 00:00:00,0.1,1
POINT(-9.00685458411988 38.5607157725804),2001-03-01 00:00:00,0.085,2
POINT(-9.00685458411988 39.0559376387262),2001-03-01 00:00:00,0.001,1
POINT(-8.84178062873798 38.3956418171985),2001-03-01 00:00:00,4,1
