geometry,time,area_ardida,f
POINT(-10.4099832048661 36.9099762187613),2001-01-01 00:00:00,0.02,1
POINT(-9.50207645026561 38.6432527502714),2001-01-01 00:00:00,7.5832,14
POINT(-9.50207645026561 38.7257897279623),2001-01-01 00:00:00,18.4722,39
POINT(-9.50207645026561 38.8083267056533),2001-01-01 00:00:00,17.4825,16
POINT(-9.41953947257466 38.6432527502714),2001-01-01 00:00:00,10.6899,55
POINT(-9.41953947257466 38.7257897279623),2001-01-01 00:00:00,25.4606,99
POINT(-9.41953947257466 38.8083267056533),2001-01-01 00:00:00,26.5290,63
POINT(-9.41953947257466 38.8908636833443),2001-01-01 00:00:00,163.0161,146
POINT(-9.41953947257466 38.9734006610352),2001-01-01 00:00:00,7.301,20
POINT(-9.41953947257466 39.0559376387262),2001-01-01 00:00:00,2.150,23
POINT(-9.41953947257466 39.1384746164171),2001-01-01 00:00:00,3.605,11
POINT(-9.41953947257466 39.303548571799),2001-01-01 00:00:00,2.018,9
POINT(-9.33700249488371 38.6432527502714),2001-01-01 00:00:00,11.7107,42
POINT(-9.33700249488371 38.7257897279623),2001-01-01 00:00:00,38.8360,106
POINT(-9.33700249488371 38.8083267056533),2001-01-01 00:00:00,169.506,92
POINT(-9.33700249488371 38.8908636833443),2001-01-01 00:00:00,195.3437,84
POINT(-9.33700249488371 38.9734006610352),2001-01-01 00:00:00,8.1365,34
POINT(-9.33700249488371 39.0559376387262),2001-01-01 00:00:00,11.890,38
POINT(-9.33700249488371 39.1384746164171),2001-01-01 00:00:00,17.749,43
POINT(-9.33700249488371 39.2210115941081),2001-01-01 00:00:00,12.630,25
POINT(-9.33700249488371 39.303548571799),2001-01-01 00:00:00,183.9039,51
POINT(-9.33700249488371 39.38608554949),2001-01-01 00:00:00,3,1
POINT(-9.25446551719276 38.3956418171985),2001-01-01 00:00:00,2.35,3
POINT(-9.25446551719276 38.4781787948895),2001-01-01 00:00:00,0.075,1
POINT(-9.25446551719276 38.5607157725804),2001-01-01 00:00:00,0.3394,19
POINT(-9.25446551719276 38.6432527502714),2001-01-01 00:00:00,4.8468,48
POINT(-9.25446551719276 38.7257897279623),2001-01-01 00:00:00,16.4037,75
POINT(-9.25446551719276 38.8083267056533),2001-01-01 00:00:00,47.0742,78
POINT(-9.25446551719276 38.8908636833443),2001-01-01 00:00:00,181.6263,104
POINT(-9.25446551719276 38.9734006610352),2001-01-01 00:00:00,29.3645,52
POINT(-9.25446551719276 39.0559376387262),2001-01-01 00:00:00,52.346,99
POINT(-9.25446551719276 39.1384746164171),2001-01-01 00:00:00,6.281,21
POINT(-9.25446551719276 39.2210115941081),2001-01-01 00:00:00,7.995,30
POINT(-9.25446551719276 39.303548571799),2001-01-01 00:00:00,50.229,65
POINT(-9.25446551719276 39.38608554949),2001-01-01 00:00:00,24.803,37
POINT(-9.17192853950178 38.3956418171985),2001-01-01 00:00:00,11.215,21
POINT(-9.17192853950178 38.4781787948895),2001-01-01 00:00:00,2.19,4
POINT(-9.17192853950178 38.5607157725804),2001-01-01 00:00:00,22.9121,62
POINT(-9.17192853950178 38.6432527502714),2001-01-01 00:00:00,0.3252,24
POINT(-9.17192853950178 38.7257897279623),2001-01-01 00:00:00,16.0602,50
POINT(-9.17192853950178 38.8083267056533),2001-01-01 00:00:00,89.6759,272
POINT(-9.17192853950178 38.8908636833443),2001-01-01 00:00:00,51.4626,113
POINT(-9.17192853950178 38.9734006610352),2001-01-01 00:00:00,33.786,86
POINT(-9.17192853950178 39.0559376387262),2001-01-01 00:00:00,9.62,35
POINT(-9.17192853950178 39.1384746164171),2001-01-01 00:00:00,37.038,31
POINT(-9.17192853950178 39.2210115941081),2001-01-01 00:00:00,5.4835,18
POINT(-9.17192853950178 39.303548571799),2001-01-01 00:00:00,7.615,18
POINT(-9.17192853950178 39.38608554949),2001-01-01 00:00:00,10.0328,58
POINT(-9.17192853950178 39.4686225271809),2001-01-01 00:00:00,61.043,59
POINT(-9.08939156181083 38.3956418171985),2001-01-01 00:00:00,2.25,5
POINT(-9.08939156181083 38.4781787948895),2001-01-01 00:00:00,5.6835,18
POINT(-9.08939156181083 38.5607157725804),2001-01-01 00:00:00,23.6921,49
POINT(-9.08939156181083 38.6432527502714),2001-01-01 00:00:00,5.1594,28
POINT(-9.08939156181083 38.8083267056533),2001-01-01 00:00:00,13.6760,75
POINT(-9.08939156181083 38.8908636833443),2001-01-01 00:00:00,30.1543,77
POINT(-9.08939156181083 38.9734006610352),2001-01-01 00:00:00,11.155,39
POINT(-9.08939156181083 39.0559376387262),2001-01-01 00:00:00,18.654,64
POINT(-9.08939156181083 39.1384746164171),2001-01-01 00:00:00,25.630,35
POINT(-9.08939156181083 39.2210115941081),2001-01-01 00:00:00,2.18,9
POINT(-9.08939156181083 39.303548571799),2001-01-01 00:00:00,0.748,8
POINT(-9.08939156181083 39.38608554949),2001-01-01 00:00:00,2.8605,19
POINT(-9.08939156181083 39.4686225271809),2001-01-01 00:00:00,37.002,20
POINT(-9.08939156181083 39.5511595048719),2001-01-01 00:00:00,1.460,17
POINT(-9.08939156181083 39.6336964825629),2001-01-01 00:00:00,0.04,2
POINT(-9.00685458411988 36.9925131964523),2001-01-01 00:00:00,0.035,1
POINT(-9.00685458411988 38.4781787948895),2001-01-01 00:00:00,0.111,5
POINT(-9.00685458411988 38.5607157725804),2001-01-01 00:00:00,5.9545,19
POINT(-9.00685458411988 38.6432527502714),2001-01-01 00:00:00,21.9312,97
POINT(-9.00685458411988 38.7257897279623),2001-01-01 00:00:00,9.1373,10
POINT(-9.00685458411988 38.8908636833443),2001-01-01 00:00:00,1.1721,18
POINT(-9.00685458411988 38.9734006610352),2001-01-01 00:00:00,6.358,21
POINT(-9.00685458411988 39.0559376387262),2001-01-01 00:00:00,4.08,4
POINT(-9.00685458411988 39.1384746164171),2001-01-01 00:00:00,32.358,21
POINT(-9.00685458411988 39.2210115941081),2001-01-01 00:00:00,10.8935,20
POINT(-9.00685458411988 39.303548571799),2001-01-01 00:00:00,3.5225,12
POINT(-9.00685458411988 39.38608554949),2001-01-01 00:00:00,2.967,13
POINT(-9.00685458411988 39.4686225271809),2001-01-01 00:00:00,6.230,20
POINT(-9.00685458411988 39.5511595048719),2001-01-01 00:00:00,2.171,6
POINT(-9.00685458411988 39.6336964825629),2001-01-01 00:00:00,28.763,20
POINT(-9.00685458411988 39.7162334602538),2001-01-01 00:00:00,0.5633,12
POINT(-9.00685458411988 39.7987704379448),2001-01-01 00:00:00,0.0002,2
POINT(-9.00685458411988 39.8813074156357),2001-01-01 00:00:00,5,1
POINT(-8.92431760642893 37.0750501741432),2001-01-01 00:00:00,0.5,1
POINT(-8.92431760642893 37.2401241295251),2001-01-01 00:00:00,0.005,1
POINT(-8.92431760642893 37.9004199510528),2001-01-01 00:00:00,0.0351,3
POINT(-8.92431760642893 38.3956418171985),2001-01-01 00:00:00,0.0001,1
POINT(-8.92431760642893 38.4781787948895),2001-01-01 00:00:00,15.4799,44
POINT(-8.92431760642893 38.5607157725804),2001-01-01 00:00:00,7.8127,35
POINT(-8.92431760642893 38.6432527502714),2001-01-01 00:00:00,0.082,11
POINT(-8.92431760642893 38.7257897279623),2001-01-01 00:00:00,1.06,3
POINT(-8.92431760642893 38.8908636833443),2001-01-01 00:00:00,1.803,9
POINT(-8.92431760642893 39.0559376387262),2001-01-01 00:00:00,3.0035,18
POINT(-8.92431760642893 39.1384746164171),2001-01-01 00:00:00,23.521,28
POINT(-8.92431760642893 39.2210115941081),2001-01-01 00:00:00,22.705,15
POINT(-8.92431760642893 39.303548571799),2001-01-01 00:00:00,8.805,10
POINT(-8.92431760642893 39.38608554949),2001-01-01 00:00:00,3.177,5
POINT(-8.92431760642893 39.4686225271809),2001-01-01 00:00:00,133.3853,31
POINT(-8.92431760642893 39.5511595048719),2001-01-01 00:00:00,3.6611,17
POINT(-8.92431760642893 39.6336964825629),2001-01-01 00:00:00,1.8218,9
POINT(-8.92431760642893 39.7162334602538),2001-01-01 00:00:00,1.0254,17
POINT(-8.92431760642893 39.7987704379448),2001-01-01 00:00:00,0.2503,5
POINT(-8.92431760642893 39.8813074156357),2001-01-01 00:00:00,0.2721,6
POINT(-8.92431760642893 40.0463813710176),2001-01-01 00:00:00,0.0251,2
POINT(-8.92431760642893 40.1289183487086),2001-01-01 00:00:00,0.1364,14
POINT(-8.92431760642893 40.2114553263995),2001-01-01 00:00:00,0.0401,4
POINT(-8.92431760642893 41.6971209248368),2001-01-01 00:00:00,68.0170001,50
POINT(-8.92431760642893 41.7796579025277),2001-01-01 00:00:00,7.941,13
POINT(-8.84178062873798 37.0750501741432),2001-01-01 00:00:00,1.585,2
POINT(-8.84178062873798 37.2401241295251),2001-01-01 00:00:00,8.005,2
POINT(-8.84178062873798 37.3226611072161),2001-01-01 00:00:00,0.395,3
POINT(-8.84178062873798 37.405198084907),2001-01-01 00:00:00,0.0001,1
POINT(-8.84178062873798 37.487735062598),2001-01-01 00:00:00,0.0002,2
POINT(-8.84178062873798 37.5702720402889),2001-01-01 00:00:00,0.0002,2
POINT(-8.84178062873798 37.6528090179799),2001-01-01 00:00:00,0.0503,4
POINT(-8.84178062873798 37.7353459956709),2001-01-01 00:00:00,0.0001,1
POINT(-8.84178062873798 37.8178829733618),2001-01-01 00:00:00,0,1
POINT(-8.84178062873798 37.9004199510528),2001-01-01 00:00:00,1.0537,9
POINT(-8.84178062873798 37.9829569287437),2001-01-01 00:00:00,3.145,5
POINT(-8.84178062873798 38.0654939064347),2001-01-01 00:00:00,0.1407,5
POINT(-8.84178062873798 38.3131048395076),2001-01-01 00:00:00,2.0,2
POINT(-8.84178062873798 38.3956418171985),2001-01-01 00:00:00,0.5,1
POINT(-8.84178062873798 38.4781787948895),2001-01-01 00:00:00,0.077,6
POINT(-8.84178062873798 38.5607157725804),2001-01-01 00:00:00,0.415,5
POINT(-8.84178062873798 38.6432527502714),2001-01-01 00:00:00,1,1
POINT(-8.84178062873798 38.8083267056533),2001-01-01 00:00:00,0.5,1
POINT(-8.84178062873798 38.9734006610352),2001-01-01 00:00:00,2.8293,18
POINT(-8.84178062873798 39.0559376387262),2001-01-01 00:00:00,1.148,11
POINT(-8.84178062873798 39.1384746164171),2001-01-01 00:00:00,1.0915,11
POINT(-8.84178062873798 39.2210115941081),2001-01-01 00:00:00,19.416,11
POINT(-8.84178062873798 39.303548571799),2001-01-01 00:00:00,11.277,10
POINT(-8.84178062873798 39.38608554949),2001-01-01 00:00:00,17.2985,33
POINT(-8.84178062873798 39.4686225271809),2001-01-01 00:00:00,207.831,15
POINT(-8.84178062873798 39.5511595048719),2001-01-01 00:00:00,1.1382,9
POINT(-8.84178062873798 39.6336964825629),2001-01-01 00:00:00,0.518,7
POINT(-8.84178062873798 39.7162334602538),2001-01-01 00:00:00,0.6939,13
POINT(-8.84178062873798 39.7987704379448),2001-01-01 00:00:00,0.5711,8
POINT(-8.84178062873798 39.8813074156357),2001-01-01 00:00:00,0.405,3
POINT(-8.84178062873798 39.9638443933267),2001-01-01 00:00:00,26.7711,13
POINT(-8.84178062873798 40.0463813710176),2001-01-01 00:00:00,0.017,3
POINT(-8.84178062873798 40.1289183487086),2001-01-01 00:00:00,7.9773,32
POINT(-8.84178062873798 40.2114553263995),2001-01-01 00:00:00,0.915,7
POINT(-8.84178062873798 40.4590662594724),2001-01-01 00:00:00,0.3901,5
POINT(-8.84178062873798 41.3669730140729),2001-01-01 00:00:00,3.06,8
POINT(-8.84178062873798 41.4495099917639),2001-01-01 00:00:00,1.71,7
POINT(-8.84178062873798 41.5320469694549),2001-01-01 00:00:00,6.9501,18
POINT(-8.84178062873798 41.6145839471458),2001-01-01 00:00:00,53.794012,83
POINT(-8.84178062873798 41.6971209248368),2001-01-01 00:00:00,40.698,48
POINT(-8.84178062873798 41.7796579025277),2001-01-01 00:00:00,363.79,51
POINT(-8.84178062873798 41.8621948802187),2001-01-01 00:00:00,639.4322,17
POINT(-8.759243651047 37.0750501741432),2001-01-01 00:00:00,12.5,1
POINT(-8.759243651047 37.1575871518342),2001-01-01 00:00:00,1.302,2
POINT(-8.759243651047 37.487735062598),2001-01-01 00:00:00,41.2501,2
POINT(-8.759243651047 37.5702720402889),2001-01-01 00:00:00,4.0001,2
POINT(-8.759243651047 37.6528090179799),2001-01-01 00:00:00,0.0001,1
POINT(-8.759243651047 37.7353459956709),2001-01-01 00:00:00,0.0001,1
POINT(-8.759243651047 37.8178829733618),2001-01-01 00:00:00,0.09,3
POINT(-8.759243651047 37.9004199510528),2001-01-01 00:00:00,0.01,1
POINT(-8.759243651047 37.9829569287437),2001-01-01 00:00:00,27.0051,6
POINT(-8.759243651047 38.0654939064347),2001-01-01 00:00:00,51.21,14
POINT(-8.759243651047 38.1480308841256),2001-01-01 00:00:00,4,2
POINT(-8.759243651047 38.2305678618166),2001-01-01 00:00:00,6.5,2
POINT(-8.759243651047 38.3956418171985),2001-01-01 00:00:00,4.52,3
POINT(-8.759243651047 38.5607157725804),2001-01-01 00:00:00,87.0534,11
POINT(-8.759243651047 38.6432527502714),2001-01-01 00:00:00,11.223,6
POINT(-8.759243651047 38.7257897279623),2001-01-01 00:00:00,0.057,2
POINT(-8.759243651047 38.8083267056533),2001-01-01 00:00:00,3,2
POINT(-8.759243651047 38.8908636833443),2001-01-01 00:00:00,0.165,2
POINT(-8.759243651047 38.9734006610352),2001-01-01 00:00:00,151.710,7
POINT(-8.759243651047 39.0559376387262),2001-01-01 00:00:00,4.433,8
POINT(-8.759243651047 39.1384746164171),2001-01-01 00:00:00,11.1135,13
POINT(-8.759243651047 39.2210115941081),2001-01-01 00:00:00,0.3406,10
POINT(-8.759243651047 39.303548571799),2001-01-01 00:00:00,2.315,5
POINT(-8.759243651047 39.38608554949),2001-01-01 00:00:00,38.690,24
POINT(-8.759243651047 39.4686225271809),2001-01-01 00:00:00,3.2626,23
POINT(-8.759243651047 39.5511595048719),2001-01-01 00:00:00,67.9001,8
POINT(-8.759243651047 39.6336964825629),2001-01-01 00:00:00,0.2333,6
POINT(-8.759243651047 39.7162334602538),2001-01-01 00:00:00,21.4334,21
POINT(-8.759243651047 39.7987704379448),2001-01-01 00:00:00,3.431,13
POINT(-8.759243651047 39.8813074156357),2001-01-01 00:00:00,0.3501,7
POINT(-8.759243651047 39.9638443933267),2001-01-01 00:00:00,0.2126,8
POINT(-8.759243651047 40.0463813710176),2001-01-01 00:00:00,4.08,3
POINT(-8.759243651047 40.1289183487086),2001-01-01 00:00:00,1.051,8
POINT(-8.759243651047 40.2114553263995),2001-01-01 00:00:00,2.046,4
POINT(-8.759243651047 40.2939923040905),2001-01-01 00:00:00,0.8771,6
POINT(-8.759243651047 40.3765292817815),2001-01-01 00:00:00,5.024,15
POINT(-8.759243651047 40.4590662594724),2001-01-01 00:00:00,1.2325,5
POINT(-8.759243651047 40.5416032371634),2001-01-01 00:00:00,0.099,7
POINT(-8.759243651047 40.6241402148543),2001-01-01 00:00:00,0.108,8
POINT(-8.759243651047 40.7066771925453),2001-01-01 00:00:00,1.375,26
POINT(-8.759243651047 41.1193620810001),2001-01-01 00:00:00,0.63,13
POINT(-8.759243651047 41.201899058691),2001-01-01 00:00:00,10.40,47
POINT(-8.759243651047 41.284436036382),2001-01-01 00:00:00,30.85,59
POINT(-8.759243651047 41.3669730140729),2001-01-01 00:00:00,15.52,47
POINT(-8.759243651047 41.4495099917639),2001-01-01 00:00:00,23.68,48
POINT(-8.759243651047 41.5320469694549),2001-01-01 00:00:00,4.50,18
POINT(-8.759243651047 41.6145839471458),2001-01-01 00:00:00,234.09,63
POINT(-8.759243651047 41.6971209248368),2001-01-01 00:00:00,352.525,95
POINT(-8.759243651047 41.7796579025277),2001-01-01 00:00:00,264.90,18
POINT(-8.759243651047 41.8621948802187),2001-01-01 00:00:00,71.526,27
POINT(-8.759243651047 41.9447318579096),2001-01-01 00:00:00,0.77,10
POINT(-8.67670667335605 37.0750501741432),2001-01-01 00:00:00,0.01,1
POINT(-8.67670667335605 37.1575871518342),2001-01-01 00:00:00,13.501,2
POINT(-8.67670667335605 37.3226611072161),2001-01-01 00:00:00,2.55,3
POINT(-8.67670667335605 37.405198084907),2001-01-01 00:00:00,0.0001,1
POINT(-8.67670667335605 37.5702720402889),2001-01-01 00:00:00,5.5001,4
POINT(-8.67670667335605 37.6528090179799),2001-01-01 00:00:00,0.0001,1
POINT(-8.67670667335605 37.7353459956709),2001-01-01 00:00:00,9,2
POINT(-8.67670667335605 37.9829569287437),2001-01-01 00:00:00,7.006,3
POINT(-8.67670667335605 38.0654939064347),2001-01-01 00:00:00,343.0151,5
POINT(-8.67670667335605 38.1480308841256),2001-01-01 00:00:00,6,1
POINT(-8.67670667335605 38.2305678618166),2001-01-01 00:00:00,4,2
POINT(-8.67670667335605 38.4781787948895),2001-01-01 00:00:00,0.0001,1
POINT(-8.67670667335605 38.6432527502714),2001-01-01 00:00:00,5.0705,8
POINT(-8.67670667335605 38.7257897279623),2001-01-01 00:00:00,18.028,6
POINT(-8.67670667335605 38.8083267056533),2001-01-01 00:00:00,3.95,3
POINT(-8.67670667335605 38.9734006610352),2001-01-01 00:00:00,2.100,5
POINT(-8.67670667335605 39.0559376387262),2001-01-01 00:00:00,8.1645,5
POINT(-8.67670667335605 39.1384746164171),2001-01-01 00:00:00,0.068,2
POINT(-8.67670667335605 39.2210115941081),2001-01-01 00:00:00,0.011,2
POINT(-8.67670667335605 39.303548571799),2001-01-01 00:00:00,0.0675,7
POINT(-8.67670667335605 39.38608554949),2001-01-01 00:00:00,4.7432,15
POINT(-8.67670667335605 39.4686225271809),2001-01-01 00:00:00,22.3065,22
POINT(-8.67670667335605 39.5511595048719),2001-01-01 00:00:00,10.241,12
POINT(-8.67670667335605 39.6336964825629),2001-01-01 00:00:00,5.275,18
POINT(-8.67670667335605 39.7162334602538),2001-01-01 00:00:00,2.0702,13
POINT(-8.67670667335605 39.7987704379448),2001-01-01 00:00:00,30.173,19
POINT(-8.67670667335605 39.8813074156357),2001-01-01 00:00:00,8.6712,10
POINT(-8.67670667335605 39.9638443933267),2001-01-01 00:00:00,0.711,6
POINT(-8.67670667335605 40.0463813710176),2001-01-01 00:00:00,1.3351,6
POINT(-8.67670667335605 40.1289183487086),2001-01-01 00:00:00,1.685,8
POINT(-8.67670667335605 40.2114553263995),2001-01-01 00:00:00,10.0163,11
POINT(-8.67670667335605 40.2939923040905),2001-01-01 00:00:00,0.205,3
POINT(-8.67670667335605 40.3765292817815),2001-01-01 00:00:00,0.7401,4
POINT(-8.67670667335605 40.4590662594724),2001-01-01 00:00:00,0.2806,7
POINT(-8.67670667335605 40.5416032371634),2001-01-01 00:00:00,0.9451,23
POINT(-8.67670667335605 40.6241402148543),2001-01-01 00:00:00,0.811,12
POINT(-8.67670667335605 40.7066771925453),2001-01-01 00:00:00,1.375,8
POINT(-8.67670667335605 40.7892141702362),2001-01-01 00:00:00,1.2602,39
POINT(-8.67670667335605 40.8717511479272),2001-01-01 00:00:00,19.9155,99
POINT(-8.67670667335605 40.9542881256182),2001-01-01 00:00:00,25.80,153
POINT(-8.67670667335605 41.0368251033091),2001-01-01 00:00:00,46.65,130
POINT(-8.67670667335605 41.1193620810001),2001-01-01 00:00:00,13.69,105
POINT(-8.67670667335605 41.201899058691),2001-01-01 00:00:00,63.94,153
POINT(-8.67670667335605 41.284436036382),2001-01-01 00:00:00,350.24,100
POINT(-8.67670667335605 41.3669730140729),2001-01-01 00:00:00,6.62,21
POINT(-8.67670667335605 41.4495099917639),2001-01-01 00:00:00,21.18,28
POINT(-8.67670667335605 41.5320469694549),2001-01-01 00:00:00,25.99,49
POINT(-8.67670667335605 41.6145839471458),2001-01-01 00:00:00,94.452,93
POINT(-8.67670667335605 41.6971209248368),2001-01-01 00:00:00,121.33470001,41
POINT(-8.67670667335605 41.7796579025277),2001-01-01 00:00:00,30.852,33
POINT(-8.67670667335605 41.8621948802187),2001-01-01 00:00:00,24.85,24
POINT(-8.67670667335605 41.9447318579096),2001-01-01 00:00:00,176.88230100001,116
POINT(-8.67670667335605 42.0272688356006),2001-01-01 00:00:00,3.360001,6
POINT(-8.5941696956651 37.0750501741432),2001-01-01 00:00:00,0.005,1
POINT(-8.5941696956651 37.1575871518342),2001-01-01 00:00:00,3.905,4
POINT(-8.5941696956651 37.2401241295251),2001-01-01 00:00:00,1404.178,17
POINT(-8.5941696956651 37.3226611072161),2001-01-01 00:00:00,0.023,4
POINT(-8.5941696956651 37.6528090179799),2001-01-01 00:00:00,1,1
POINT(-8.5941696956651 37.9004199510528),2001-01-01 00:00:00,48.0021,5
POINT(-8.5941696956651 38.3131048395076),2001-01-01 00:00:00,6.055,4
POINT(-8.5941696956651 38.4781787948895),2001-01-01 00:00:00,5,1
POINT(-8.5941696956651 38.6432527502714),2001-01-01 00:00:00,11.5351,4
POINT(-8.5941696956651 38.7257897279623),2001-01-01 00:00:00,2.5,3
POINT(-8.5941696956651 38.8083267056533),2001-01-01 00:00:00,0.0025,1
POINT(-8.5941696956651 38.8908636833443),2001-01-01 00:00:00,7.373,12
POINT(-8.5941696956651 39.0559376387262),2001-01-01 00:00:00,2.06,3
POINT(-8.5941696956651 39.1384746164171),2001-01-01 00:00:00,13.320,24
POINT(-8.5941696956651 39.2210115941081),2001-01-01 00:00:00,5.230,9
POINT(-8.5941696956651 39.303548571799),2001-01-01 00:00:00,0.001,1
POINT(-8.5941696956651 39.38608554949),2001-01-01 00:00:00,1.040,5
POINT(-8.5941696956651 39.4686225271809),2001-01-01 00:00:00,0.247,6
POINT(-8.5941696956651 39.5511595048719),2001-01-01 00:00:00,2.115,12
POINT(-8.5941696956651 39.6336964825629),2001-01-01 00:00:00,9.174,22
POINT(-8.5941696956651 39.7162334602538),2001-01-01 00:00:00,4.307,15
POINT(-8.5941696956651 39.7987704379448),2001-01-01 00:00:00,280.3701,28
POINT(-8.5941696956651 39.8813074156357),2001-01-01 00:00:00,0.8811,9
POINT(-8.5941696956651 39.9638443933267),2001-01-01 00:00:00,9.17,4
POINT(-8.5941696956651 40.0463813710176),2001-01-01 00:00:00,0.955,3
POINT(-8.5941696956651 40.1289183487086),2001-01-01 00:00:00,0.93,4
POINT(-8.5941696956651 40.2114553263995),2001-01-01 00:00:00,0.297,9
POINT(-8.5941696956651 40.2939923040905),2001-01-01 00:00:00,1.0001,2
POINT(-8.5941696956651 40.3765292817815),2001-01-01 00:00:00,0.375,4
POINT(-8.5941696956651 40.4590662594724),2001-01-01 00:00:00,0.2302,11
POINT(-8.5941696956651 40.5416032371634),2001-01-01 00:00:00,0.8352,15
POINT(-8.5941696956651 40.6241402148543),2001-01-01 00:00:00,0.833,17
POINT(-8.5941696956651 40.7066771925453),2001-01-01 00:00:00,0.8103,11
POINT(-8.5941696956651 40.7892141702362),2001-01-01 00:00:00,14.5502,31
POINT(-8.5941696956651 40.8717511479272),2001-01-01 00:00:00,15.39,104
POINT(-8.5941696956651 40.9542881256182),2001-01-01 00:00:00,42.93,265
POINT(-8.5941696956651 41.0368251033091),2001-01-01 00:00:00,156.19,357
POINT(-8.5941696956651 41.1193620810001),2001-01-01 00:00:00,46.97,236
POINT(-8.5941696956651 41.201899058691),2001-01-01 00:00:00,103.75,185
POINT(-8.5941696956651 41.284436036382),2001-01-01 00:00:00,114.09,68
POINT(-8.5941696956651 41.3669730140729),2001-01-01 00:00:00,53.01,122
POINT(-8.5941696956651 41.4495099917639),2001-01-01 00:00:00,28.15,67
POINT(-8.5941696956651 41.5320469694549),2001-01-01 00:00:00,94.56,78
POINT(-8.5941696956651 41.6145839471458),2001-01-01 00:00:00,31.23100101,52
POINT(-8.5941696956651 41.6971209248368),2001-01-01 00:00:00,139.435,78
POINT(-8.5941696956651 41.7796579025277),2001-01-01 00:00:00,330.1620101,73
POINT(-8.5941696956651 41.8621948802187),2001-01-01 00:00:00,133.1902,86
POINT(-8.5941696956651 41.9447318579096),2001-01-01 00:00:00,224.2201,45
POINT(-8.5941696956651 42.0272688356006),2001-01-01 00:00:00,52.31200001,25
POINT(-8.51163271797415 37.0750501741432),2001-01-01 00:00:00,1.019,6
POINT(-8.51163271797415 37.1575871518342),2001-01-01 00:00:00,137.139,7
POINT(-8.51163271797415 37.2401241295251),2001-01-01 00:00:00,0.005,1
POINT(-8.51163271797415 37.3226611072161),2001-01-01 00:00:00,118.951,11
POINT(-8.51163271797415 37.405198084907),2001-01-01 00:00:00,2,1
POINT(-8.51163271797415 37.487735062598),2001-01-01 00:00:00,0.0001,1
POINT(-8.51163271797415 37.5702720402889),2001-01-01 00:00:00,2.5,1
POINT(-8.51163271797415 37.6528090179799),2001-01-01 00:00:00,9.0001,6
POINT(-8.51163271797415 37.7353459956709),2001-01-01 00:00:00,0.0001,1
POINT(-8.51163271797415 37.9004199510528),2001-01-01 00:00:00,7,1
POINT(-8.51163271797415 37.9829569287437),2001-01-01 00:00:00,0.5001,2
POINT(-8.51163271797415 38.0654939064347),2001-01-01 00:00:00,119.5,3
POINT(-8.51163271797415 38.3131048395076),2001-01-01 00:00:00,0.0252,4
POINT(-8.51163271797415 38.4781787948895),2001-01-01 00:00:00,0.0003,1
POINT(-8.51163271797415 38.6432527502714),2001-01-01 00:00:00,0.0003,3
