geometry,time,area_ardida,f
POINT(-8.84178062873798 41.5320469694549),2001-01-01 00:00:00,2,1
POINT(-8.51163271797415 40.2114553263995),2001-01-01 00:00:00,0.01,1
POINT(-8.51163271797415 40.5416032371634),2001-01-01 00:00:00,0.1,1
POINT(-8.18148480721032 37.9004199510528),2001-01-01 00:00:00,0.0001,1
POINT(-7.52118898568267 41.201899058691),2001-01-01 00:00:00,0.01,1
POINT(-7.19104107491884 41.201899058691),2001-01-01 00:00:00,1,1
POINT(-8.51163271797415 40.5416032371634),2001-01-08 00:00:00,0.02,1
POINT(-8.18148480721032 40.2114553263995),2001-01-08 00:00:00,1,1
POINT(-8.18148480721032 40.5416032371634),2001-01-08 00:00:00,0.7001,5
POINT(-8.18148480721032 40.8717511479272),2001-01-08 00:00:00,2.0001,2
POINT(-7.8513368964465 40.2114553263995),2001-01-08 00:00:00,1.1,1
POINT(-7.8513368964465 40.5416032371634),2001-01-08 00:00:00,0.05,1
POINT(-8.84178062873798 39.8813074156357),2001-01-15 00:00:00,0.0001,1
POINT(-8.51163271797415 39.8813074156357),2001-01-15 00:00:00,0.003,1
POINT(-7.19104107491884 41.5320469694549),2001-01-15 00:00:00,0.1,1
POINT(-9.17192853950178 39.2210115941081),2001-01-22 00:00:00,1,1
POINT(-7.52118898568267 39.8813074156357),2001-01-29 00:00:00,0.01,1
POINT(-8.84178062873798 40.5416032371634),2001-02-05 00:00:00,0.30,2
POINT(-8.84178062873798 40.8717511479272),2001-02-05 00:00:00,0.25,2
POINT(-8.84178062873798 41.5320469694549),2001-02-05 00:00:00,0.4,1
POINT(-8.51163271797415 40.2114553263995),2001-02-05 00:00:00,0.29,1
POINT(-8.51163271797415 40.5416032371634),2001-02-05 00:00:00,10.82,9
POINT(-8.18148480721032 40.5416032371634),2001-02-05 00:00:00,4.4801,10
POINT(-8.18148480721032 40.8717511479272),2001-02-05 00:00:00,2,1
POINT(-7.8513368964465 40.8717511479272),2001-02-05 00:00:00,6.0601,4
POINT(-9.50207645026561 38.2305678618166),2001-02-12 00:00:00,0.075,1
POINT(-9.50207645026561 38.8908636833443),2001-02-12 00:00:00,2.58,5
POINT(-9.17192853950178 38.2305678618166),2001-02-12 00:00:00,0.05,1
POINT(-9.17192853950178 38.5607157725804),2001-02-12 00:00:00,0.001,1
POINT(-9.17192853950178 39.2210115941081),2001-02-12 00:00:00,0.5,1
POINT(-9.17192853950178 39.5511595048719),2001-02-12 00:00:00,0.0001,1
POINT(-8.84178062873798 36.9099762187613),2001-02-12 00:00:00,0.1,1
POINT(-8.84178062873798 38.8908636833443),2001-02-12 00:00:00,0.002,1
POINT(-8.84178062873798 39.5511595048719),2001-02-12 00:00:00,0.0001,1
POINT(-8.84178062873798 40.5416032371634),2001-02-12 00:00:00,0.0001,1
POINT(-8.84178062873798 40.8717511479272),2001-02-12 00:00:00,0.02,1
POINT(-8.84178062873798 41.201899058691),2001-02-12 00:00:00,0.05,1
POINT(-8.84178062873798 41.8621948802187),2001-02-12 00:00:00,5.08,2
POINT(-8.51163271797415 39.5511595048719),2001-02-12 00:00:00,1.0001,2
POINT(-8.51163271797415 39.8813074156357),2001-02-12 00:00:00,0.12,1
POINT(-8.51163271797415 40.2114553263995),2001-02-12 00:00:00,0.1,1
POINT(-8.51163271797415 40.5416032371634),2001-02-12 00:00:00,2.04,2
POINT(-8.51163271797415 40.8717511479272),2001-02-12 00:00:00,0.5,2
POINT(-8.51163271797415 41.201899058691),2001-02-12 00:00:00,0.45,6
POINT(-8.51163271797415 41.5320469694549),2001-02-12 00:00:00,1.04,3
POINT(-8.51163271797415 41.8621948802187),2001-02-12 00:00:00,0.15,1
POINT(-8.18148480721032 39.5511595048719),2001-02-12 00:00:00,0.3,1
POINT(-8.18148480721032 41.201899058691),2001-02-12 00:00:00,3.11,3
POINT(-8.18148480721032 41.5320469694549),2001-02-12 00:00:00,1.01,2
POINT(-7.8513368964465 40.2114553263995),2001-02-12 00:00:00,0.5,1
POINT(-7.8513368964465 41.201899058691),2001-02-12 00:00:00,0.01,1
POINT(-7.8513368964465 41.5320469694549),2001-02-12 00:00:00,2.3,2
POINT(-7.52118898568267 39.2210115941081),2001-02-12 00:00:00,0.0001,1
POINT(-7.52118898568267 40.5416032371634),2001-02-12 00:00:00,0.5,1
POINT(-7.19104107491884 39.8813074156357),2001-02-12 00:00:00,0.02,1
POINT(-7.19104107491884 40.2114553263995),2001-02-12 00:00:00,1.5,1
POINT(-6.53074525339119 41.201899058691),2001-02-12 00:00:00,1,1
POINT(-9.50207645026561 38.5607157725804),2001-02-19 00:00:00,0.0035,2
POINT(-9.50207645026561 38.8908636833443),2001-02-19 00:00:00,6.55,9
POINT(-9.17192853950178 38.2305678618166),2001-02-19 00:00:00,0.2,1
POINT(-9.17192853950178 38.8908636833443),2001-02-19 00:00:00,0.07,1
POINT(-9.17192853950178 39.2210115941081),2001-02-19 00:00:00,1.02,2
POINT(-9.17192853950178 39.5511595048719),2001-02-19 00:00:00,0.2002,4
POINT(-9.17192853950178 41.5320469694549),2001-02-19 00:00:00,0.2,2
POINT(-8.84178062873798 36.9099762187613),2001-02-19 00:00:00,0.002,1
POINT(-8.84178062873798 37.2401241295251),2001-02-19 00:00:00,0.0001,1
POINT(-8.84178062873798 37.5702720402889),2001-02-19 00:00:00,0.05,1
POINT(-8.84178062873798 37.9004199510528),2001-02-19 00:00:00,0.0001,1
POINT(-8.84178062873798 38.2305678618166),2001-02-19 00:00:00,0.0001,1
POINT(-8.84178062873798 38.8908636833443),2001-02-19 00:00:00,0.075,2
POINT(-8.84178062873798 39.2210115941081),2001-02-19 00:00:00,0.002,1
POINT(-8.84178062873798 39.5511595048719),2001-02-19 00:00:00,3.09,5
POINT(-8.84178062873798 39.8813074156357),2001-02-19 00:00:00,0.7,1
POINT(-8.84178062873798 40.5416032371634),2001-02-19 00:00:00,0.0601,2
POINT(-8.84178062873798 40.8717511479272),2001-02-19 00:00:00,5.89,35
POINT(-8.84178062873798 41.201899058691),2001-02-19 00:00:00,3.81,8
POINT(-8.84178062873798 41.5320469694549),2001-02-19 00:00:00,41.41,21
POINT(-8.84178062873798 41.8621948802187),2001-02-19 00:00:00,35.57,13
POINT(-8.51163271797415 39.5511595048719),2001-02-19 00:00:00,0.5,1
POINT(-8.51163271797415 39.8813074156357),2001-02-19 00:00:00,0.02,1
POINT(-8.51163271797415 40.2114553263995),2001-02-19 00:00:00,0.0001,1
POINT(-8.51163271797415 40.5416032371634),2001-02-19 00:00:00,31.44,11
POINT(-8.51163271797415 40.8717511479272),2001-02-19 00:00:00,1.69,12
POINT(-8.51163271797415 41.201899058691),2001-02-19 00:00:00,9.32,32
POINT(-8.51163271797415 41.5320469694549),2001-02-19 00:00:00,9.72,24
POINT(-8.51163271797415 41.8621948802187),2001-02-19 00:00:00,13.0,8
POINT(-8.18148480721032 39.2210115941081),2001-02-19 00:00:00,2.5,2
POINT(-8.18148480721032 39.5511595048719),2001-02-19 00:00:00,0.02,1
POINT(-8.18148480721032 39.8813074156357),2001-02-19 00:00:00,4.35,3
POINT(-8.18148480721032 40.2114553263995),2001-02-19 00:00:00,0.7,1
POINT(-8.18148480721032 40.8717511479272),2001-02-19 00:00:00,0.87,6
POINT(-8.18148480721032 41.201899058691),2001-02-19 00:00:00,2.13,11
POINT(-8.18148480721032 41.5320469694549),2001-02-19 00:00:00,142.79,18
POINT(-8.18148480721032 41.8621948802187),2001-02-19 00:00:00,0.03,1
POINT(-7.8513368964465 40.2114553263995),2001-02-19 00:00:00,0,1
POINT(-7.8513368964465 40.5416032371634),2001-02-19 00:00:00,0.5,1
POINT(-7.8513368964465 40.8717511479272),2001-02-19 00:00:00,2,2
POINT(-7.8513368964465 41.201899058691),2001-02-19 00:00:00,1.54,4
POINT(-7.8513368964465 41.5320469694549),2001-02-19 00:00:00,0.51,2
POINT(-7.8513368964465 41.8621948802187),2001-02-19 00:00:00,77,2
