geometry;name;time;tipos_vias;f_atmosfericos;fleves;fgraves;mortos;f
15;SANTAREM;01/04/2012 00:00;A  - Auto-Estrada;Chuva;2;0;0;1
15;SANTAREM;01/01/2011 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;4
11;LEIRIA;01/03/2009 00:00;EN - Estrada Nacional;Bom tempo;1;0;1;1
4;BRAGA;01/06/2012 00:00;EN - Estrada Nacional;Chuva;5;0;0;2
4;BRAGA;01/12/2010 00:00;EN - Estrada Nacional;Bom tempo;0;1;0;1
10;GUARDA;01/01/2007 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;6
10;GUARDA;01/10/2011 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;9
16;SETUBAL;01/11/2012 00:00;EN - Estrada Nacional;Chuva;1;1;0;1
8;EVORA;01/06/2011 00:00;EN - Estrada Nacional;Bom tempo;0;1;0;1
11;LEIRIA;01/09/2012 00:00;EN - Estrada Nacional;Chuva;2;0;0;1
9;FARO;01/05/2012 00:00;IC - Itinerário Complementar;Chuva;0;2;1;1
15;SANTAREM;01/08/2008 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;14
14;PORTO;01/11/2010 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;21
12;LISBOA;01/10/2007 00:00;EN - Estrada Nacional;Nevoeiro;1;0;0;2
3;BEJA;01/07/2009 00:00;IC - Itinerário Complementar;Bom tempo;1;0;0;3
5;BRAGANCA;01/05/2007 00:00;EN - Estrada Nacional;Bom tempo;3;0;0;1
11;LEIRIA;01/06/2012 00:00;IC - Itinerário Complementar;Bom tempo;5;0;0;1
4;BRAGA;01/02/2011 00:00;A  - Auto-Estrada;Bom tempo;2;0;0;1
16;SETUBAL;01/08/2011 00:00;A  - Auto-Estrada;NÃO DEFINIDO;1;0;0;1
5;BRAGANCA;01/08/2007 00:00;EN - Estrada Nacional;Bom tempo;0;1;0;2
9;FARO;01/06/2010 00:00;IC - Itinerário Complementar;Bom tempo;1;0;0;1
17;VIANA DO CASTELO;01/02/2007 00:00;EN - Estrada Nacional;Bom tempo;0;0;1;1
18;VILA REAL;01/07/2009 00:00;EN - Estrada Nacional;Chuva;3;0;0;1
10;GUARDA;01/08/2008 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;1
17;VIANA DO CASTELO;01/08/2012 00:00;EN - Estrada Nacional;Bom tempo;4;0;0;2
17;VIANA DO CASTELO;01/01/2007 00:00;EN - Estrada Nacional;Bom tempo;0;1;0;2
2;AVEIRO;01/10/2009 00:00;A  - Auto-Estrada;Bom tempo;0;2;0;1
17;VIANA DO CASTELO;01/04/2008 00:00;EN - Estrada Nacional;Chuva;1;0;0;5
15;SANTAREM;01/10/2011 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;3
9;FARO;01/07/2008 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;34
7;COIMBRA;01/02/2009 00:00;EN - Estrada Nacional;Nevoeiro;1;0;0;1
15;SANTAREM;01/01/2007 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;7
2;AVEIRO;01/08/2008 00:00;IC - Itinerário Complementar;Bom tempo;4;0;0;1
12;LISBOA;01/09/2008 00:00;A  - Auto-Estrada;Bom tempo;3;1;0;1
16;SETUBAL;01/02/2011 00:00;EN - Estrada Nacional;Chuva;2;0;0;1
10;GUARDA;01/01/2011 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;6
13;PORTALEGRE;01/11/2012 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;3
2;AVEIRO;01/04/2009 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;2
4;BRAGA;01/04/2009 00:00;A  - Auto-Estrada;Granizo;1;0;0;1
4;BRAGA;01/10/2010 00:00;A  - Auto-Estrada;Chuva;1;0;0;9
19;VISEU;01/11/2012 00:00;A  - Auto-Estrada;Chuva;2;0;0;3
15;SANTAREM;01/12/2009 00:00;EN - Estrada Nacional;Chuva;5;1;0;1
14;PORTO;01/11/2012 00:00;Arruamento;Chuva;1;0;0;1
15;SANTAREM;01/05/2011 00:00;EN - Estrada Nacional;Chuva;1;0;0;4
12;LISBOA;01/07/2010 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;21
10;GUARDA;01/07/2007 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;2
15;SANTAREM;01/04/2010 00:00;EN - Estrada Nacional;Bom tempo;0;2;0;1
16;SETUBAL;01/10/2010 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;17
14;PORTO;01/06/2010 00:00;A  - Auto-Estrada;Bom tempo;2;0;0;9
12;LISBOA;01/12/2007 00:00;A  - Auto-Estrada;NÃO DEFINIDO;1;0;0;1
15;SANTAREM;01/05/2009 00:00;EN - Estrada Nacional;Chuva;4;0;0;1
10;GUARDA;01/12/2011 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;3
15;SANTAREM;01/12/2011 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;3
7;COIMBRA;01/05/2008 00:00;A  - Auto-Estrada;Chuva;2;0;0;1
15;SANTAREM;01/07/2007 00:00;A  - Auto-Estrada;Bom tempo;2;0;0;3
10;GUARDA;01/05/2011 00:00;A  - Auto-Estrada;Chuva;1;0;0;2
18;VILA REAL;01/03/2010 00:00;EN - Estrada Nacional;Chuva;1;0;0;5
9;FARO;01/05/2009 00:00;EN - Estrada Nacional;Bom tempo;0;1;0;1
12;LISBOA;01/12/2012 00:00;A  - Auto-Estrada;Bom tempo;0;1;0;2
14;PORTO;01/04/2011 00:00;A  - Auto-Estrada;Bom tempo;0;0;2;1
12;LISBOA;01/12/2008 00:00;EN - Estrada Nacional;Chuva;0;1;1;1
8;EVORA;01/12/2009 00:00;EN - Estrada Nacional;Bom tempo;0;1;0;1
17;VIANA DO CASTELO;01/12/2011 00:00;EN - Estrada Nacional;Bom tempo;0;1;0;2
2;AVEIRO;01/06/2007 00:00;A  - Auto-Estrada;Chuva;3;0;0;1
6;CASTELO BRANCO;01/03/2010 00:00;EN - Estrada Nacional;Chuva;1;0;0;2
12;LISBOA;01/11/2008 00:00;EN - Estrada Nacional;Chuva;2;0;0;2
18;VILA REAL;01/12/2012 00:00;EN - Estrada Nacional;Chuva;1;0;0;6
7;COIMBRA;01/04/2007 00:00;EN - Estrada Nacional;Chuva;1;0;0;5
16;SETUBAL;01/03/2010 00:00;EN - Estrada Nacional;Bom tempo;4;0;0;2
11;LEIRIA;01/01/2008 00:00;EN - Estrada Nacional;Nevoeiro;1;0;0;1
5;BRAGANCA;01/12/2012 00:00;EN - Estrada Nacional;Bom tempo;4;0;0;1
19;VISEU;01/01/2009 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;3
15;SANTAREM;01/03/2011 00:00;EN - Estrada Nacional;Bom tempo;3;1;0;1
12;LISBOA;01/03/2010 00:00;A  - Auto-Estrada;Bom tempo;0;1;0;1
11;LEIRIA;01/06/2009 00:00;EN - Estrada Nacional;Bom tempo;0;1;0;1
16;SETUBAL;01/12/2010 00:00;IC - Itinerário Complementar;Bom tempo;3;0;0;1
6;CASTELO BRANCO;01/12/2012 00:00;EN - Estrada Nacional;Chuva;1;0;0;3
8;EVORA;01/05/2008 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;2
3;BEJA;01/11/2012 00:00;EN - Estrada Nacional;Bom tempo;0;1;0;1
12;LISBOA;01/03/2008 00:00;A  - Auto-Estrada;Bom tempo;3;1;0;1
19;VISEU;01/08/2010 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;4
16;SETUBAL;01/08/2007 00:00;EN - Estrada Nacional;NÃO DEFINIDO;3;0;0;1
14;PORTO;01/03/2011 00:00;A  - Auto-Estrada;Bom tempo;2;0;0;7
5;BRAGANCA;01/08/2011 00:00;EN - Estrada Nacional;Bom tempo;6;0;0;1
5;BRAGANCA;01/10/2010 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;3
12;LISBOA;01/12/2007 00:00;IC - Itinerário Complementar;Chuva;1;0;0;3
14;PORTO;01/02/2011 00:00;A  - Auto-Estrada;Nevoeiro;2;0;0;1
12;LISBOA;01/09/2007 00:00;EN - Estrada Nacional;NÃO DEFINIDO;1;0;0;3
12;LISBOA;01/09/2010 00:00;A  - Auto-Estrada;Bom tempo;2;0;0;5
19;VISEU;01/03/2010 00:00;EN - Estrada Nacional;Bom tempo;0;0;1;2
19;VISEU;01/06/2008 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;3
15;SANTAREM;01/05/2009 00:00;A  - Auto-Estrada;Chuva;1;1;0;1
12;LISBOA;01/10/2008 00:00;A  - Auto-Estrada;Bom tempo;2;0;0;3
19;VISEU;01/12/2012 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;4
3;BEJA;01/09/2010 00:00;IC - Itinerário Complementar;Bom tempo;3;1;1;1
19;VISEU;01/09/2008 00:00;IP- Itinerário Principal;Bom tempo;4;0;0;1
17;VIANA DO CASTELO;01/10/2009 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;2
7;COIMBRA;01/11/2012 00:00;IP- Itinerário Principal;Bom tempo;1;0;0;1
2;AVEIRO;01/05/2010 00:00;A  - Auto-Estrada;Bom tempo;0;1;0;2
12;LISBOA;01/09/2007 00:00;A  - Auto-Estrada;Bom tempo;6;0;0;1
5;BRAGANCA;01/02/2011 00:00;EN - Estrada Nacional;Chuva;2;0;0;1
9;FARO;01/02/2012 00:00;A  - Auto-Estrada;Bom tempo;2;0;0;1
4;BRAGA;01/05/2007 00:00;A  - Auto-Estrada;Chuva;3;0;0;1
19;VISEU;01/06/2011 00:00;A  - Auto-Estrada;Bom tempo;3;0;0;1
2;AVEIRO;01/04/2009 00:00;EN - Estrada Nacional;Bom tempo;0;0;1;1
18;VILA REAL;01/11/2008 00:00;IP- Itinerário Principal;Bom tempo;3;0;0;1
14;PORTO;01/04/2010 00:00;A  - Auto-Estrada;Chuva;1;0;0;5
16;SETUBAL;01/03/2008 00:00;IP- Itinerário Principal;Bom tempo;2;0;0;1
15;SANTAREM;01/07/2012 00:00;EN - Estrada Nacional;Bom tempo;5;0;0;1
15;SANTAREM;01/11/2007 00:00;A  - Auto-Estrada;Chuva;2;0;0;1
9;FARO;01/03/2011 00:00;IC - Itinerário Complementar;Bom tempo;1;0;0;2
15;SANTAREM;01/07/2011 00:00;ER - Estrada Regional;Bom tempo;2;0;0;1
15;SANTAREM;01/02/2007 00:00;EN - Estrada Nacional;Chuva;0;4;0;1
5;BRAGANCA;01/06/2009 00:00;EN - Estrada Nacional;Chuva;3;0;0;2
12;LISBOA;01/08/2007 00:00;A  - Auto-Estrada;Bom tempo;4;0;0;1
8;EVORA;01/09/2012 00:00;A  - Auto-Estrada;Bom tempo;4;0;0;1
10;GUARDA;01/07/2007 00:00;EN - Estrada Nacional;Bom tempo;0;0;1;1
11;LEIRIA;01/03/2008 00:00;A  - Auto-Estrada;Chuva;1;0;0;1
10;GUARDA;01/11/2009 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;1
15;SANTAREM;01/11/2009 00:00;A  - Auto-Estrada;Bom tempo;2;0;0;2
17;VIANA DO CASTELO;01/07/2008 00:00;EN - Estrada Nacional;Chuva;1;1;0;1
3;BEJA;01/11/2008 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;2
9;FARO;01/06/2007 00:00;EN - Estrada Nacional;Chuva;1;0;0;4
12;LISBOA;01/03/2012 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;10
10;GUARDA;01/11/2007 00:00;EN - Estrada Nacional;Chuva;2;0;0;1
17;VIANA DO CASTELO;01/02/2009 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;7
11;LEIRIA;01/08/2011 00:00;A  - Auto-Estrada;Chuva;1;0;0;1
17;VIANA DO CASTELO;01/10/2012 00:00;EN - Estrada Nacional;Chuva;1;0;0;4
18;VILA REAL;01/06/2010 00:00;ER - Estrada Regional;Bom tempo;1;0;0;1
9;FARO;01/04/2008 00:00;EN - Estrada Nacional;Bom tempo;1;1;0;1
12;LISBOA;01/12/2010 00:00;A  - Auto-Estrada;Chuva;1;1;0;1
7;COIMBRA;01/11/2012 00:00;IC - Itinerário Complementar;Chuva;2;0;0;1
12;LISBOA;01/11/2012 00:00;EN - Estrada Nacional;Chuva;0;1;0;3
12;LISBOA;01/12/2011 00:00;EN - Estrada Nacional;Chuva;1;0;0;5
11;LEIRIA;01/06/2007 00:00;A  - Auto-Estrada;Bom tempo;6;0;0;1
2;AVEIRO;01/05/2007 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;8
17;VIANA DO CASTELO;01/12/2012 00:00;A  - Auto-Estrada;Chuva;1;0;0;1
16;SETUBAL;01/01/2008 00:00;A  - Auto-Estrada;Chuva;2;0;0;1
16;SETUBAL;01/02/2012 00:00;A  - Auto-Estrada;Bom tempo;0;0;1;1
19;VISEU;01/10/2009 00:00;A  - Auto-Estrada;Chuva;1;0;0;7
2;AVEIRO;01/09/2008 00:00;EN - Estrada Nacional;Bom tempo;0;1;0;1
3;BEJA;01/01/2011 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;2
12;LISBOA;01/11/2009 00:00;EN - Estrada Nacional;Chuva;0;0;1;1
19;VISEU;01/02/2008 00:00;EN - Estrada Nacional;Chuva;1;0;0;2
9;FARO;01/12/2009 00:00;EN - Estrada Nacional;Chuva;0;2;0;1
16;SETUBAL;01/01/2012 00:00;IC - Itinerário Complementar;Bom tempo;1;0;1;1
3;BEJA;01/12/2008 00:00;IP- Itinerário Principal;Nevoeiro;2;1;0;1
9;FARO;01/08/2011 00:00;EN - Estrada Nacional;Bom tempo;6;0;0;1
