geometry;name;time;tipos_vias;f_atmosfericos;fleves;fgraves;mortos;f
12;LISBOA;07/12/2009 00:00;IC - Itinerário Complementar;Bom tempo;1;0;0;1
14;PORTO;25/04/2011 00:00;A  - Auto-Estrada;Chuva;1;0;0;4
12;LISBOA;30/04/2007 00:00;A  - Auto-Estrada;Bom tempo;0;1;0;1
14;PORTO;02/03/2009 00:00;EN - Estrada Nacional;Bom tempo;0;1;0;2
15;SANTAREM;03/12/2007 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;1
18;VILA REAL;10/05/2010 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;3
4;BRAGA;24/11/2008 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;3
10;GUARDA;01/01/2007 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;2
16;SETUBAL;26/03/2012 00:00;EN - Estrada Nacional;Bom tempo;3;0;0;1
6;CASTELO BRANCO;05/05/2008 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;1
17;VIANA DO CASTELO;05/12/2011 00:00;A  - Auto-Estrada;Chuva;4;0;0;1
17;VIANA DO CASTELO;01/03/2010 00:00;EN - Estrada Nacional;Chuva;2;0;0;1
12;LISBOA;10/03/2008 00:00;EN - Estrada Nacional;Bom tempo;4;1;0;1
16;SETUBAL;18/08/2008 00:00;EN - Estrada Nacional;Bom tempo;3;0;2;1
7;COIMBRA;18/04/2011 00:00;EN - Estrada Nacional;Chuva;1;0;0;3
7;COIMBRA;26/04/2010 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;3
4;BRAGA;04/01/2010 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;1
15;SANTAREM;14/05/2007 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;9
14;PORTO;19/11/2007 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;1
4;BRAGA;30/04/2007 00:00;A  - Auto-Estrada;Chuva;4;0;0;1
9;FARO;15/09/2008 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;2
5;BRAGANCA;24/09/2012 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;1
9;FARO;14/04/2008 00:00;A  - Auto-Estrada;Chuva;1;0;0;2
7;COIMBRA;10/10/2011 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;1
15;SANTAREM;03/11/2008 00:00;EN - Estrada Nacional;Bom tempo;2;1;0;1
12;LISBOA;02/04/2012 00:00;IP- Itinerário Principal;Chuva;1;0;0;1
16;SETUBAL;15/11/2010 00:00;EN - Estrada Nacional;Chuva;2;0;0;1
7;COIMBRA;29/10/2007 00:00;IC - Itinerário Complementar;Bom tempo;1;0;0;1
4;BRAGA;26/07/2010 00:00;A  - Auto-Estrada;Bom tempo;0;2;1;1
16;SETUBAL;04/08/2008 00:00;A  - Auto-Estrada;Bom tempo;2;0;0;1
3;BEJA;27/02/2012 00:00;IC - Itinerário Complementar;Bom tempo;2;0;0;1
19;VISEU;21/05/2012 00:00;IP- Itinerário Principal;Bom tempo;1;0;0;1
9;FARO;15/10/2007 00:00;IC - Itinerário Complementar;Bom tempo;1;0;0;1
12;LISBOA;02/04/2012 00:00;IC - Itinerário Complementar;Bom tempo;2;0;0;1
9;FARO;30/11/2009 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;2
12;LISBOA;06/09/2010 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;8
6;CASTELO BRANCO;04/07/2011 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;1
7;COIMBRA;27/09/2010 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;4
7;COIMBRA;13/04/2009 00:00;IC - Itinerário Complementar;Chuva;1;0;0;2
16;SETUBAL;31/10/2011 00:00;A  - Auto-Estrada;Bom tempo;3;0;2;1
15;SANTAREM;04/02/2008 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;1
9;FARO;07/05/2007 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;5
8;EVORA;18/07/2011 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;2
15;SANTAREM;01/01/2007 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;2
12;LISBOA;01/09/2008 00:00;Outra Via;Bom tempo;1;0;0;1
7;COIMBRA;24/08/2009 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;1
14;PORTO;03/11/2008 00:00;A  - Auto-Estrada;Bom tempo;3;0;0;2
14;PORTO;24/03/2008 00:00;A  - Auto-Estrada;NÃO DEFINIDO;2;0;0;1
10;GUARDA;03/12/2007 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;1
4;BRAGA;14/03/2011 00:00;EN - Estrada Nacional;Bom tempo;1;1;0;1
13;PORTALEGRE;05/05/2008 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;2
16;SETUBAL;13/12/2010 00:00;EN - Estrada Nacional;Chuva;0;0;1;1
9;FARO;05/12/2011 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;4
11;LEIRIA;26/11/2012 00:00;IC - Itinerário Complementar;Bom tempo;1;0;0;1
2;AVEIRO;09/07/2007 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;1
16;SETUBAL;19/05/2008 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;2
14;PORTO;02/02/2009 00:00;A  - Auto-Estrada;Chuva;0;1;0;1
19;VISEU;24/11/2008 00:00;EN - Estrada Nacional;Chuva;1;1;0;1
2;AVEIRO;19/07/2010 00:00;EN - Estrada Nacional;Bom tempo;2;1;0;1
11;LEIRIA;06/09/2010 00:00;EN - Estrada Nacional;Bom tempo;1;2;1;1
11;LEIRIA;08/11/2010 00:00;EN - Estrada Nacional;Bom tempo;0;0;1;1
17;VIANA DO CASTELO;02/06/2008 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;2
17;VIANA DO CASTELO;19/10/2009 00:00;EN - Estrada Nacional;Chuva;2;0;0;2
9;FARO;05/10/2009 00:00;A  - Auto-Estrada;Chuva;0;2;0;1
12;LISBOA;09/07/2007 00:00;EN - Estrada Nacional;Bom tempo;5;0;0;2
7;COIMBRA;08/12/2008 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;1
15;SANTAREM;31/12/2007 00:00;EN - Estrada Nacional;Chuva;1;0;0;8
12;LISBOA;22/10/2007 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;2
18;VILA REAL;13/08/2012 00:00;EN - Estrada Nacional;Bom tempo;1;2;0;1
16;SETUBAL;29/11/2010 00:00;IC - Itinerário Complementar;Granizo;1;0;0;1
12;LISBOA;22/12/2008 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;8
8;EVORA;21/05/2012 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;1
15;SANTAREM;20/08/2007 00:00;A  - Auto-Estrada;Bom tempo;1;1;1;1
16;SETUBAL;12/11/2007 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;6
14;PORTO;15/10/2007 00:00;A  - Auto-Estrada;Bom tempo;2;0;0;2
6;CASTELO BRANCO;13/08/2012 00:00;EN - Estrada Nacional;Bom tempo;1;2;0;1
16;SETUBAL;29/10/2012 00:00;EN - Estrada Nacional;Chuva;1;0;0;1
4;BRAGA;19/05/2008 00:00;A  - Auto-Estrada;Chuva;1;0;0;2
10;GUARDA;18/02/2008 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;1
2;AVEIRO;15/02/2010 00:00;A  - Auto-Estrada;Bom tempo;3;0;0;1
2;AVEIRO;22/02/2010 00:00;A  - Auto-Estrada;Bom tempo;0;0;4;1
8;EVORA;22/02/2010 00:00;A  - Auto-Estrada;Bom tempo;2;1;0;1
17;VIANA DO CASTELO;17/10/2011 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;1
15;SANTAREM;18/02/2008 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;2
14;PORTO;20/08/2007 00:00;A  - Auto-Estrada;NÃO DEFINIDO;4;0;0;1
4;BRAGA;26/11/2012 00:00;EN - Estrada Nacional;Chuva;1;0;0;3
10;GUARDA;09/07/2007 00:00;EN - Estrada Nacional;Bom tempo;4;2;0;1
11;LEIRIA;21/03/2011 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;1
7;COIMBRA;05/11/2012 00:00;EN - Estrada Nacional;Chuva;2;0;0;1
19;VISEU;04/07/2011 00:00;EN - Estrada Nacional;Chuva;1;0;0;3
14;PORTO;18/05/2009 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;6
11;LEIRIA;29/11/2010 00:00;A  - Auto-Estrada;Granizo;1;0;0;1
11;LEIRIA;23/07/2007 00:00;EN - Estrada Nacional;Bom tempo;4;3;0;1
7;COIMBRA;12/11/2012 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;2
11;LEIRIA;16/06/2008 00:00;EN - Estrada Nacional;Bom tempo;6;0;0;1
18;VILA REAL;27/08/2012 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;1
9;FARO;09/08/2010 00:00;EN - Estrada Nacional;Bom tempo;0;0;1;1
7;COIMBRA;02/11/2009 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;3
9;FARO;27/10/2008 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;2
10;GUARDA;31/12/2007 00:00;A  - Auto-Estrada;Chuva;1;0;0;1
18;VILA REAL;24/09/2007 00:00;EN - Estrada Nacional;Chuva;1;0;0;1
10;GUARDA;30/05/2011 00:00;EN - Estrada Nacional;Bom tempo;1;2;0;1
11;LEIRIA;22/02/2010 00:00;A  - Auto-Estrada;Chuva;1;0;0;1
2;AVEIRO;21/07/2008 00:00;EN - Estrada Nacional;Chuva;4;0;0;1
9;FARO;28/06/2010 00:00;EN - Estrada Nacional;Bom tempo;2;1;0;1
18;VILA REAL;09/04/2012 00:00;EN - Estrada Nacional;Chuva;2;0;0;1
9;FARO;16/07/2007 00:00;EN - Estrada Nacional;Bom tempo;0;1;0;3
16;SETUBAL;26/12/2011 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;4
13;PORTALEGRE;12/10/2009 00:00;EN - Estrada Nacional;Bom tempo;3;0;0;1
9;FARO;07/09/2009 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;1
11;LEIRIA;21/05/2007 00:00;A  - Auto-Estrada;Chuva;1;0;0;1
12;LISBOA;12/03/2012 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;4
18;VILA REAL;12/05/2008 00:00;EN - Estrada Nacional;Chuva;1;0;0;1
12;LISBOA;04/04/2011 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;4
10;GUARDA;31/10/2011 00:00;EN - Estrada Nacional;Chuva;1;0;0;1
16;SETUBAL;23/05/2011 00:00;A  - Auto-Estrada;Chuva;1;0;1;1
16;SETUBAL;22/11/2010 00:00;IC - Itinerário Complementar;Bom tempo;3;0;0;1
19;VISEU;18/06/2007 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;1
16;SETUBAL;06/06/2011 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;2
11;LEIRIA;23/02/2009 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;5
9;FARO;21/12/2009 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;1
9;FARO;08/10/2012 00:00;EN - Estrada Nacional;Bom tempo;0;1;0;1
9;FARO;14/05/2012 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;1
9;FARO;01/10/2012 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;1
11;LEIRIA;23/07/2007 00:00;EN - Estrada Nacional;Bom tempo;0;1;0;2
15;SANTAREM;29/11/2010 00:00;A  - Auto-Estrada;Chuva;2;1;0;1
8;EVORA;14/09/2009 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;1
4;BRAGA;09/07/2012 00:00;A  - Auto-Estrada;Chuva;2;0;0;1
19;VISEU;13/04/2009 00:00;A  - Auto-Estrada;Chuva;1;0;0;1
6;CASTELO BRANCO;02/08/2010 00:00;EN - Estrada Nacional;Bom tempo;3;0;0;1
15;SANTAREM;16/08/2010 00:00;A  - Auto-Estrada;Bom tempo;3;0;0;1
7;COIMBRA;11/05/2009 00:00;IC - Itinerário Complementar;Bom tempo;1;0;0;1
16;SETUBAL;09/07/2012 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;1
10;GUARDA;22/03/2010 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;1
11;LEIRIA;07/06/2010 00:00;IC - Itinerário Complementar;Bom tempo;1;0;0;1
14;PORTO;11/04/2011 00:00;A  - Auto-Estrada;Bom tempo;2;0;0;1
8;EVORA;03/12/2012 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;2
