geometry;name;time;tipos_vias;f_atmosfericos;fleves;fgraves;mortos;f
11;LEIRIA;01/01/2012 00:00;IP- Itinerário Principal;Chuva;1;0;0;1
7;COIMBRA;01/01/2012 00:00;IC - Itinerário Complementar;Bom tempo;4;0;0;1
19;VISEU;01/01/2010 00:00;EN - Estrada Nacional;Chuva;1;0;0;38
15;SANTAREM;01/01/2007 00:00;A  - Auto-Estrada;Bom tempo;5;1;0;1
11;LEIRIA;01/01/2012 00:00;A  - Auto-Estrada;Bom tempo;2;0;0;15
14;PORTO;01/01/2008 00:00;EN - Estrada Nacional;Chuva;5;0;0;1
10;GUARDA;01/01/2007 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;81
2;AVEIRO;01/01/2010 00:00;A  - Auto-Estrada;Chuva;2;0;1;1
7;COIMBRA;01/01/2010 00:00;EN - Estrada Nacional;Chuva;0;2;1;1
16;SETUBAL;01/01/2007 00:00;ER - Estrada Regional;Bom tempo;0;1;0;1
15;SANTAREM;01/01/2007 00:00;IC - Itinerário Complementar;Bom tempo;1;0;0;7
16;SETUBAL;01/01/2012 00:00;A  - Auto-Estrada;Bom tempo;2;0;0;10
4;BRAGA;01/01/2012 00:00;EN - Estrada Nacional;Chuva;2;0;0;38
3;BEJA;01/01/2011 00:00;A  - Auto-Estrada;Bom tempo;4;0;0;1
16;SETUBAL;01/01/2012 00:00;IC - Itinerário Complementar;Nevoeiro;2;0;0;1
8;EVORA;01/01/2012 00:00;A  - Auto-Estrada;Chuva;5;0;0;1
5;BRAGANCA;01/01/2011 00:00;EN - Estrada Nacional;Bom tempo;0;6;1;1
12;LISBOA;01/01/2010 00:00;A  - Auto-Estrada;Bom tempo;3;2;0;1
11;LEIRIA;01/01/2007 00:00;A  - Auto-Estrada;Bom tempo;0;2;0;1
14;PORTO;01/01/2009 00:00;A  - Auto-Estrada;Chuva;1;1;0;1
2;AVEIRO;01/01/2010 00:00;A  - Auto-Estrada;Bom tempo;3;1;0;2
2;AVEIRO;01/01/2010 00:00;A  - Auto-Estrada;Bom tempo;3;2;2;1
5;BRAGANCA;01/01/2011 00:00;EN - Estrada Nacional;Bom tempo;3;0;0;3
11;LEIRIA;01/01/2007 00:00;IC - Itinerário Complementar;Bom tempo;0;2;0;1
17;VIANA DO CASTELO;01/01/2008 00:00;EN - Estrada Nacional;Bom tempo;0;0;1;5
3;BEJA;01/01/2008 00:00;IC - Itinerário Complementar;Chuva;0;1;0;1
8;EVORA;01/01/2009 00:00;EN - Estrada Nacional;Chuva;0;0;1;1
17;VIANA DO CASTELO;01/01/2007 00:00;EN - Estrada Nacional;Bom tempo;0;1;0;13
2;AVEIRO;01/01/2007 00:00;EN - Estrada Nacional;Bom tempo;4;0;0;5
10;GUARDA;01/01/2007 00:00;EN - Estrada Nacional;Nevoeiro;1;0;0;3
15;SANTAREM;01/01/2009 00:00;EN - Estrada Nacional;Bom tempo;1;1;1;2
2;AVEIRO;01/01/2011 00:00;EN - Estrada Nacional;Chuva;0;0;1;2
11;LEIRIA;01/01/2012 00:00;IC - Itinerário Complementar;Bom tempo;1;1;2;1
12;LISBOA;01/01/2008 00:00;IC - Itinerário Complementar;NÃO DEFINIDO;3;0;0;1
4;BRAGA;01/01/2012 00:00;Outra Via;Bom tempo;2;0;0;1
17;VIANA DO CASTELO;01/01/2009 00:00;A  - Auto-Estrada;Bom tempo;0;0;1;2
8;EVORA;01/01/2012 00:00;ER - Estrada Regional;Chuva;2;0;0;1
11;LEIRIA;01/01/2012 00:00;IC - Itinerário Complementar;Bom tempo;2;0;0;6
15;SANTAREM;01/01/2007 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;67
16;SETUBAL;01/01/2012 00:00;IC - Itinerário Complementar;Bom tempo;2;0;0;14
14;PORTO;01/01/2007 00:00;EN - Estrada Nacional;Chuva;1;0;1;1
9;FARO;01/01/2012 00:00;EN - Estrada Nacional;NÃO DEFINIDO;1;0;0;5
14;PORTO;01/01/2008 00:00;EN - Estrada Nacional;Chuva;1;1;0;1
17;VIANA DO CASTELO;01/01/2012 00:00;EN - Estrada Nacional;Bom tempo;1;1;0;3
7;COIMBRA;01/01/2012 00:00;A  - Auto-Estrada;Bom tempo;4;0;0;2
12;LISBOA;01/01/2008 00:00;IC - Itinerário Complementar;Bom tempo;0;1;0;5
18;VILA REAL;01/01/2010 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;14
12;LISBOA;01/01/2007 00:00;IC - Itinerário Complementar;Bom tempo;0;0;1;3
7;COIMBRA;01/01/2008 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;47
10;GUARDA;01/01/2010 00:00;EN - Estrada Nacional;Chuva;0;1;0;3
2;AVEIRO;01/01/2008 00:00;A  - Auto-Estrada;Bom tempo;0;2;0;3
19;VISEU;01/01/2008 00:00;EN - Estrada Nacional;Bom tempo;0;0;1;1
4;BRAGA;01/01/2010 00:00;EN - Estrada Nacional;Bom tempo;2;1;0;3
19;VISEU;01/01/2007 00:00;EN - Estrada Nacional;Bom tempo;0;1;0;6
6;CASTELO BRANCO;01/01/2010 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;4
7;COIMBRA;01/01/2010 00:00;EN - Estrada Nacional;NÃO DEFINIDO;1;0;0;3
7;COIMBRA;01/01/2009 00:00;IP- Itinerário Principal;Chuva;1;0;0;25
2;AVEIRO;01/01/2012 00:00;A  - Auto-Estrada;Bom tempo;2;1;1;1
16;SETUBAL;01/01/2009 00:00;IC - Itinerário Complementar;Bom tempo;4;0;0;1
19;VISEU;01/01/2009 00:00;A  - Auto-Estrada;Bom tempo;0;0;1;1
5;BRAGANCA;01/01/2008 00:00;EN - Estrada Nacional;Bom tempo;7;0;0;1
7;COIMBRA;01/01/2009 00:00;A  - Auto-Estrada;Bom tempo;2;0;0;9
19;VISEU;01/01/2012 00:00;EN - Estrada Nacional;Bom tempo;1;1;0;1
15;SANTAREM;01/01/2011 00:00;EN - Estrada Nacional;Chuva;2;1;0;1
9;FARO;01/01/2007 00:00;EN - Estrada Nacional;Bom tempo;3;1;0;1
12;LISBOA;01/01/2009 00:00;EN - Estrada Nacional;Bom tempo;0;1;0;15
7;COIMBRA;01/01/2009 00:00;IC - Itinerário Complementar;Bom tempo;2;0;0;3
17;VIANA DO CASTELO;01/01/2010 00:00;EN - Estrada Nacional;Chuva;1;0;0;59
7;COIMBRA;01/01/2008 00:00;EN - Estrada Nacional;Nevoeiro;2;0;0;1
16;SETUBAL;01/01/2009 00:00;A  - Auto-Estrada;Bom tempo;4;0;0;4
11;LEIRIA;01/01/2010 00:00;IC - Itinerário Complementar;Chuva;2;1;0;1
9;FARO;01/01/2009 00:00;EN - Estrada Nacional;Chuva;0;3;2;1
11;LEIRIA;01/01/2009 00:00;A  - Auto-Estrada;Bom tempo;4;0;0;1
4;BRAGA;01/01/2011 00:00;A  - Auto-Estrada;Bom tempo;0;1;0;4
16;SETUBAL;01/01/2011 00:00;EN - Estrada Nacional;Chuva;0;1;0;2
14;PORTO;01/01/2012 00:00;EN - Estrada Nacional;NÃO DEFINIDO;2;0;0;1
16;SETUBAL;01/01/2008 00:00;EN - Estrada Nacional;Bom tempo;4;0;0;4
2;AVEIRO;01/01/2011 00:00;EN - Estrada Nacional;NÃO DEFINIDO;2;0;0;1
9;FARO;01/01/2008 00:00;EN - Estrada Nacional;Chuva;2;1;0;1
13;PORTALEGRE;01/01/2010 00:00;IP- Itinerário Principal;Chuva;1;0;0;4
