year;sgrain;t;precision;recall;true_positives;false_positives; false_negatives;true_negatives
2010;512;5.0;62;75,85;248;152;79;261726
2010;512;10.0;62;75,85;248;152;79;261726
2010;512;15.0;62;75,85;248;152;79;261726
2010;512;20.0;67,31;75,54;247;120;80;261758
2010;512;25.0;73,79;69,73;228;81;99;261797
2010;512;30.0;76,11;63,31;207;65;120;261813
2010;512;35.0;80,19;51,99;170;42;157;261836
2010;512;40.0;82,76;44,04;144;30;183;261848
2010;512;45.0;82,7;39,45;129;27;198;261851
2010;512;50.0;83,08;33,03;108;22;219;261856
2010;1024;5.0;79,04;55,36;181;48;146;1048137
2010;1024;10.0;79,04;55,36;181;48;146;1048137
2010;1024;15.0;79,04;55,36;181;48;146;1048137
2010;1024;20.0;83,81;53,83;176;34;151;1048151
2010;1024;25.0;89,76;45,57;149;17;178;1048168
2010;1024;30.0;90,72;38,84;127;13;200;1048172
2010;1024;35.0;89,42;23,25;76;9;251;1048176
2010;1024;40.0;90,67;20,8;68;7;259;1048178
2010;1024;45.0;91,67;20,19;66;6;261;1048179
2010;1024;50.0;89,14;12,54;41;5;286;1048180
2010;2048;5.0;87,41;36,09;118;17;209;4193615
2010;2048;10.0;87,41;36,09;118;17;209;4193615
2010;2048;15.0;87,41;36,09;118;17;209;4193615
2010;2048;20.0;92,31;33,03;108;9;219;4193623
2010;2048;25.0;93,43;21,72;71;5;256;4193627
2010;2048;30.0;93,75;13,77;45;3;282;4193629
2010;2048;35.0;90;8,26;27;3;300;4193629
2010;2048;40.0;92,31;7,34;24;2;303;4193630
2010;2048;45.0;90;5,51;18;2;309;4193630
2010;2048;50.0;91,67;3,37;11;1;316;4193631
2010;4096;5.0;83,93;14,38;47;9;280;16775996
2010;4096;10.0;83,93;14,38;47;9;280;16775996
2010;4096;15.0;83,93;14,38;47;9;280;16775996
2010;4096;20.0;87,04;14,38;47;7;280;16775998
2010;4096;25.0;84,62;6,73;22;4;305;16776001
2010;4096;30.0;80;3,67;12;3;315;16776002
2010;4096;35.0;57,15;1,23;4;3;323;16776002
2010;4096;40.0;66,67;1,23;4;2;323;16776003
2010;4096;45.0;50;0,62;2;2;325;16776003
2010;4096;50.0;66,67;0,62;2;1;325;16776004
2010;8192;5.0;79,42;8,26;27;7;300;67105192
2010;8192;10.0;79,42;8,26;27;7;300;67105192
2010;8192;15.0;79,42;8,26;27;7;300;67105192
2010;8192;20.0;81,82;8,26;27;6;300;67105193
2010;8192;25.0;73,34;3,37;11;4;316;67105195
2010;8192;30.0;72,73;2,45;8;3;319;67105196
2010;8192;35.0;40;0,62;2;3;325;67105196
2010;8192;40.0;50;0,62;2;2;325;67105197
2010;8192;45.0;0;0;0;1;327;67105198
2010;8192;50.0;0;0;0;1;327;67105198
